tprr,main_pf,main_tr,main_net,bwd_pf,bwd_tr,bwd_net,candidate
1.5,0.74,137,-127.68,0.87,188,-70.84,no
2.5,0.73,137,-147.69,0.91,188,-52.93,no
4,0.81,137,-105.41,0.93,188,-41.05,no
