"atr","window","pf","dd_pct","trades"
1,"BWD",1.01,24.78,646.0
1,"FWD",2.36,7.55,181.0
1.5,"BWD",0.93,21.59,378.0
1.5,"FWD",2.04,6.15,108.0
2.2,"BWD",0.99,14.59,254.0
2.2,"FWD",1.73,7.81,86.0
3,"BWD",0.97,12.5,139.0
3,"FWD",1.04,11.58,82.0
4,"BWD",1.09,10.55,68.0
4,"FWD",0.69,6.7,31.0
5,"BWD",1.39,4.05,26.0
5,"FWD",0.92,4.12,34.0
