"rangebars","kc","window","pf","dd_pct","trades"
40,2,"BWD",1.43,0.55,50.0
40,2,"FWD",1.03,2.42,32.0
40,2.5,"BWD",1.08,1.18,73.0
40,2.5,"FWD",1.26,1.84,44.0
60,2,"BWD",1.69,0.52,36.0
60,2,"FWD",1.17,2.11,29.0
60,2.5,"BWD",1.02,1.49,59.0
60,2.5,"FWD",1.22,1.85,37.0
