"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"swb grid 4.1.0.3_h","EURUSD",2.09,1609.0,11666.73,32.04,FLAT-SPR30
"Yetti3+NewsSherry","EURUSD",0.97,6078.0,-112.88,10.0,NOBOOST-SPR30
"swb grid 4.1.0.3_h","EURUSD",1.54,1956.0,7375.72,42.06,FLAT-M0
"Yetti3+NewsSherry","EURUSD",,,,,NO_REPORT-NOBOOST-M0
