"year","pf","net","trades"
"2020","1.48","66.54","70"
"2021","1.06","5.20","59"
"2022","1.73","122.26","68"
"2023","1.22","29.50","58"
"2024","1.53","68.43","58"
"2025","0.96","-5.65","66"
