"axis","value","main_pf","main_net","main_trades","bwd_pf","bwd_net","bwd_trades"
sep0.4,,2.10,380.97,42,1.51,220.48,48
sep0.6,,2.36,417.89,40,1.42,181.80,45
ch2.0,,1.20,73.00,42,1.27,125.52,48
ch3.0,,3.50,1022.43,40,1.34,151.19,42
