symbol,tf,window,PF,Net,Trades,DDpct,Win
GBPUSD,H1,MAIN,0.94,-34.30,223,1.09,27.80
GBPUSD,H1,BWD,0.91,-58.82,187,2.38,31.02
EURUSD,H1,MAIN,0.71,-136.49,218,1.74,27.06
EURUSD,H1,BWD,0.88,-48.51,193,1.26,29.02
XAUUSD,H4,MAIN,1.74,601.36,97,1.52,71.13
XAUUSD,H4,BWD,1.01,5.85,56,1.76,57.14
VALIDATE DONE
