"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"UnNomGuaiV1.132","EURUSD",1.89,3640.0,8527.06,18.74,
"walid Ema","EURUSD",0.96,956.0,-1485.76,35.8,
"walid Ema","USDJPY",,0.0,0.0,0.0,
"TradePad_Current_Timeframe","EURUSD",,,,,NO_REPORT
"UnNomGuaiV1.132","EURUSD",,,,,NO_REPORTSPREAD30
"TradePad_Current_Timeframe","EURUSD",,,,,NO_REPORT
