ema,minor,main_pf,main_tr,main_net,bwd_pf,bwd_tr,bwd_net,candidate
100,0.5,1.24,517,540.08,1.04,500,62.72,YES
100,0.8,0,0,0,1.04,462,55.32,no
200,0.5,1.22,499,471.57,1.07,492,113.80,YES
200,0.8,1.09,438,175.16,1.07,453,103.21,no
300,0.5,1.17,488,371.83,1.07,485,106.81,no
300,0.8,1.03,426,54.49,1.08,448,117.26,no
