sym,tf,win,model,PF,net,eqDDpct,trades,winpct,report
GBPJPY,H1,MAIN,M1,0.77,-143.75,1.58,196.0,31.63,W5X_GBPJPY_H1_MAIN_M1
GBPJPY,H4,MAIN,M1,0.82,-58.83,1.42,54.0,38.89,W5X_GBPJPY_H4_MAIN_M1
EURJPY,H1,MAIN,M1,1.08,32.3,0.8,173.0,34.1,W5X_EURJPY_H1_MAIN_M1
EURJPY,H4,MAIN,M1,0.75,-73.49,1.33,62.0,33.87,W5X_EURJPY_H4_MAIN_M1
AUDJPY,H1,MAIN,M1,0.77,-87.19,1.13,179.0,27.37,W5X_AUDJPY_H1_MAIN_M1
AUDJPY,H4,MAIN,M1,0.61,-97.46,1.12,57.0,24.56,W5X_AUDJPY_H4_MAIN_M1
CHFJPY,H1,MAIN,M1,1.04,15.58,1.4,177.0,32.77,W5X_CHFJPY_H1_MAIN_M1
CHFJPY,H4,MAIN,M1,0.75,-58.44,0.95,54.0,31.48,W5X_CHFJPY_H4_MAIN_M1
