tag,window,PF,trades,winpct,eqDDpct,netprofit,largestWin,largestLoss,report
comb_MAIN,MAIN,1.19,164.0,53.66,4.03,1062.66,241.96,-369.8,D:\EA_LAB\_mt5_auto\reports\O098H2_comb_MAIN.htm
comb_BWD,BWD,1.13,162.0,55.56,13.68,840.86,349.56,-713.02,D:\EA_LAB\_mt5_auto\reports\O098H2_comb_BWD.htm
comb_HLD,HLD,1.09,118.0,48.31,9.69,553.94,405.48,-391.06,D:\EA_LAB\_mt5_auto\reports\O098H2_comb_HLD.htm
