mode,symbol,window,PF,Net,Trades,DDpct,WinPct,status
M,EURUSD,MAIN,0.93,-132.77,1379.0,1.52,47.79,OK
M,EURUSD,BWD,0.88,-276.46,1386.0,3.72,46.83,OK
P,EURUSD,MAIN,0.9,-133.88,1013.0,1.58,46.2,OK
P,EURUSD,BWD,0.93,-107.57,1024.0,2.31,46.88,OK
M,AUDNZD,MAIN,0.55,-424.72,1039.0,4.32,36.96,OK
M,AUDNZD,BWD,0.66,-360.0,1011.0,3.77,40.06,OK
P,AUDNZD,MAIN,0.59,-270.96,743.0,2.76,37.28,OK
P,AUDNZD,BWD,0.72,-196.81,717.0,2.26,41.84,OK
