"time","symbol","side","lots","profit"
"2026.07.05 03:17:02","BTCUSDc","buy","0.1","-24.14"
"2026.07.05 07:24:20","BTCUSDc","buy","0.1","-4.7"
"2026.07.05 09:57:41","BTCUSDc","buy","0.1","-26.45"
"2026.07.05 09:57:44","BTCUSDc","buy","0.1","-37.05"
"2026.07.06 05:58:22","GBPUSDc","sell","0.14","21"
"2026.07.06 05:58:22","GBPUSDc","sell","0.14","35.28"
"2026.07.06 09:50:54","BTCUSDc","buy","0.1","-5.87"
"2026.07.06 09:50:57","BTCUSDc","buy","0.1","-12.06"
