"tf","window","pf","dd_pct","trades"
"M15","BWD",1.74,0.65,33.0
"M15","HOLDOUT",1.89,0.86,33.0
"M15","FWD",2.94,2.15,20.0
"M30","BWD",1.74,0.65,33.0
"M30","HOLDOUT",1.89,0.86,33.0
"M30","FWD",2.94,2.15,20.0
"H4","BWD",1.74,0.65,33.0
"H4","HOLDOUT",1.89,0.86,33.0
"H4","FWD",2.94,2.15,20.0
