test,tprr,model,window,pf,trades,net,largest_loss
model4,3.5,4,MAIN,1.16,499,368.95,-28.13
model4,3.5,4,BWD,1.06,492,94.53,-23.36
model4,3.5,4,HOLD,1.21,86,239.05,-56.60
