rsihi,rsilo,main_pf,main_tr,main_net,bwd_pf,bwd_tr,bwd_net,candidate
70,30,1.43,39,55.35,0.97,40,-3.72,no
70,25,1.12,30,13.85,0.65,21,-23.81,no
75,30,1.43,27,42.36,1.01,33,1.16,YES
75,25,1.01,18,0.86,0.62,14,-18.93,no
