"sl","tp","window","pf","dd_pct","trades"
1,5,"BWD",0.77,3.4,186.0
1,5,"FWD",0.83,6.77,86.0
1,6,"BWD",0.93,2.53,181.0
1,6,"FWD",0.82,6.7,86.0
1,7,"BWD",0.94,2.77,179.0
1,7,"FWD",0.93,6.57,86.0
1,8,"BWD",0.93,3.15,178.0
1,8,"FWD",1.05,6.31,86.0
1.5,5,"BWD",1.12,1.29,162.0
1.5,5,"FWD",1.02,5.16,81.0
1.5,6,"BWD",1.2,1.29,157.0
1.5,6,"FWD",1.04,4.78,81.0
1.5,7,"BWD",1.28,1.29,153.0
1.5,7,"FWD",1.19,4.35,81.0
1.5,8,"BWD",1.23,2.31,150.0
1.5,8,"FWD",1.22,4.38,81.0
