lookback,deadmult,main_pf,main_tr,main_net,bwd_pf,bwd_tr,bwd_net,candidate
60,1,3.58,28,1490.94,0.7,31,-322.72,no
60,2,3.72,26,1375.45,0.7,27,-276.95,no
60,3,2.82,25,1029.08,0.77,23,-175.46,no
100,1,4.22,27,1744.07,0.58,28,-442.91,no
100,2,4.9,25,1799.90,0.57,27,-459.01,no
100,3,4.61,25,1758.54,0.65,24,-311.96,no
140,1,3.78,26,1588.93,0.68,24,-280.57,no
140,2,3.57,26,1548.55,0.56,23,-374.88,no
140,3,3.7,25,1556.83,0.52,21,-406.12,no
