SECTION_A_TOP5_MAIN
rank,pass,EmaPeriod,StoK,OverSold,OverBought,SlAtrMult,TpAtrMult,PF_MAIN,Trades_MAIN,DD_MAIN
1,157,50,17,25,90,1.0,0,2.301501,73,0.7270
2,35,100,9,30,90,2.0,0,1.678404,216,2.8409
3,80,200,5,25,90,2.5,0,1.581586,191,2.3222
4,130,50,17,25,85,1.5,0,1.573660,80,0.9443
5,58,50,9,20,75,3.0,1,1.570653,158,0.9803

SECTION_B_TOP3_BOTH_WINDOW
rank,pass,PF_MAIN,PF_BWD,Trades_MAIN,Trades_BWD,DD_MAIN,DD_BWD
1,157,2.301501,0.78,73,67,0.7270,1.35
2,35,1.678404,0.51,216,197,2.8409,3.36
3,80,1.581586,0.29,191,157,2.3222,4.18
