symbol,tf,PF,Net,Trades,DDpct,Win
EURUSD,H1,1.13,0.50,5,0.05,60.00
EURUSD,H4,0.75,-0.50,2,0.02,50.00
XAUUSD,H1,0.00,0.00,0,0.00,0.00
XAUUSD,H4,0.00,0.00,0,0.00,0.00
ORDER-098-A DONE
