"ea","symbol","window","pf","dd_pct","trades"
"TL","EURUSD","BWD",0.75,1.27,165.0
"TL","EURUSD","HOLDOUT",1.54,0.36,97.0
"TL","EURUSD","FWD",0.48,0.76,80.0
"TL","GBPUSD","BWD",1.22,0.96,175.0
"TL","GBPUSD","HOLDOUT",0.63,1.01,115.0
"TL","GBPUSD","FWD",0.57,0.87,85.0
"SQZ","EURUSD","BWD",0.56,0.37,36.0
"SQZ","EURUSD","HOLDOUT",0.42,0.27,37.0
"SQZ","EURUSD","FWD",0.47,0.21,20.0
"SQZ","GBPUSD","BWD",0.95,0.69,55.0
"SQZ","GBPUSD","HOLDOUT",0.31,0.34,29.0
"SQZ","GBPUSD","FWD",1.05,0.26,29.0
