symbol,tf,variant,window,year,trades,pf,net,balance_dd_pct
USDJPY,H4,PARENT,MAIN,2023,73,1.356472436118454,93.05000000000001,0.47991784187940195
USDJPY,H4,PARENT,MAIN,2024,70,0.97401440079846,-7.289999999999997,0.9264715673696726
USDJPY,H4,PARENT,MAIN,2025,56,1.458216109200792,87.95,0.6544159103496279
USDJPY,H4,PARENT,BWD,2020,68,0.7463808824164903,-58.69,0.8720434535912407
USDJPY,H4,PARENT,BWD,2021,66,0.8253856531174848,-29.77,0.798978009669849
USDJPY,H4,PARENT,BWD,2022,70,1.2322703315764896,69.63000000000001,0.7217321571772871
USDJPY,H4,CHILD,MAIN,2023,123,0.5576777697209067,-286.7,2.945299999999988
USDJPY,H4,CHILD,MAIN,2024,133,1.0543113101903696,29.1,0.6984805857042614
USDJPY,H4,CHILD,MAIN,2025,104,0.9518896489850845,-21.45,1.1161720304878882
USDJPY,H4,CHILD,BWD,2020,110,1.0283427216128076,9.560000000000002,1.1145600145420502
USDJPY,H4,CHILD,BWD,2021,107,1.0213874840752037,5.539999999999998,0.7501806855812682
USDJPY,H4,CHILD,BWD,2022,128,0.7750204482250941,-137.53,1.573671964522471
EURUSD,H4,PARENT,MAIN,2023,67,0.8433593422266968,-37.34,0.7163093762433461
EURUSD,H4,PARENT,MAIN,2024,73,0.8599054373522459,-29.630000000000003,0.72131206305809
EURUSD,H4,PARENT,MAIN,2025,66,1.1540679187688132,36.34,0.49850043375881853
EURUSD,H4,PARENT,BWD,2020,71,1.3732471757000309,84.91000000000001,0.5575323751611454
EURUSD,H4,PARENT,BWD,2021,75,1.2553934010152283,48.3,0.5740968609544584
EURUSD,H4,PARENT,BWD,2022,71,1.1548760386180914,46.04,0.8376185019376935
EURUSD,H4,CHILD,MAIN,2023,126,0.7535329494017893,-115.98,1.6820999999999733
EURUSD,H4,CHILD,MAIN,2024,105,0.8021099039521336,-62.839999999999996,0.9647909669462607
EURUSD,H4,CHILD,MAIN,2025,94,1.0419226702483355,14.669999999999996,0.6860474917813436
EURUSD,H4,CHILD,BWD,2020,96,1.2539677685697685,83.05,0.6307251861378612
EURUSD,H4,CHILD,BWD,2021,122,0.7295566629657363,-104.74,1.5240168323949843
EURUSD,H4,CHILD,BWD,2022,117,1.0362463140964269,18.929999999999993,0.6111318922705089
