window,year,trades,pf,net,balance_dd_pct
MAIN,2023,122,0.666105,-208.21,2.457500
MAIN,2024,104,0.949593,-19.22,2.915400
MAIN,2025,92,1.043333,17.00,2.657200
BWD,2020,125,0.927402,-53.39,1.711495
BWD,2021,109,0.604945,-205.31,3.940489
BWD,2022,107,1.054618,34.72,4.166481
