cell,magic,demo_exit_count,demo_net,demo_pf,bt_trades,bt_net,bt_pf,bt_eqdd_pct,timing_offset_hours,entry_timing_matches_20m,entry_match_ratio_bt,truncation,classification,report_sha256,parity_ceiling,full_window_eligible_under_truncation_gate,comparison_use,timing_evidence_class,historical_postcheck_status
DSPR-C01,999094,25,-467.37,0.259788,19,-87.77,0.8,3.77,-4,10,0.526,CHECK_PASS,NEGATIVE_BOTH_OBSERVED_DIAGNOSTIC,CD21FD0B1B03DEF6403A01FCE7E7E10FA4A50AC9FD6A9DEAC1C2F0C57A9CA849,LEGACY_IDENTITY_CONFUND + BROKER_ENVIRONMENT_CONFUND / EXACT_PARITY_NOT_CERTIFIABLE,True,LIMITED_DIAGNOSTIC_ONLY,EXPLORATORY_POST_OUTCOME_ALIGNMENT,NOT_DURABLY_PRESERVED
DSPR-C02,990068,6,686.01,1.76094,7,457.88,1.41,14.84,-3,6,0.857,CHECK_PASS,POSITIVE_BOTH_OBSERVED_DIAGNOSTIC,28870FAAF3A903B7EEAC0E1D165F23F04088589A9E8E3CE0E792D0F6BBD7525B,LEGACY_IDENTITY_CONFUND + BROKER_ENVIRONMENT_CONFUND / EXACT_PARITY_NOT_CERTIFIABLE,True,LIMITED_DIAGNOSTIC_ONLY,EXPLORATORY_POST_OUTCOME_ALIGNMENT,NOT_DURABLY_PRESERVED
DSPR-C03,990069,3,-1643.56,0.0,1,-621.7,0.0,7.47,-8,1,1.0,UNKNOWN,BLOCKED_TRUNCATION_UNRESOLVED,A40964D70A65ABFCC7417BD2C1D2047E3383925FB501BC8D2C238022BA82F173,LEGACY_IDENTITY_CONFUND + BROKER_ENVIRONMENT_CONFUND / EXACT_PARITY_NOT_CERTIFIABLE,False,DESCRIPTIVE_INELIGIBLE_FOR_FULL_WINDOW_CONCLUSION,EXPLORATORY_POST_OUTCOME_ALIGNMENT,NOT_DURABLY_PRESERVED
DSPR-C04,990016,12,117.56,2.935463,10,-318.44,0.26,5.92,-3,5,0.5,UNKNOWN,BLOCKED_TRUNCATION_UNRESOLVED,07B8242E8902C06AA2EE2CB9EA86F3F2EB5320CC436ED8412B6B22C509507327,LEGACY_IDENTITY_CONFUND + BROKER_ENVIRONMENT_CONFUND / EXACT_PARITY_NOT_CERTIFIABLE,False,DESCRIPTIVE_INELIGIBLE_FOR_FULL_WINDOW_CONCLUSION,EXPLORATORY_POST_OUTCOME_ALIGNMENT,NOT_DURABLY_PRESERVED
DSPR-C05,990301,14,-9.57,0.728511,15,-171.0,0.49,2.65,-3,14,0.933,CHECK_PASS,NEGATIVE_BOTH_OBSERVED_DIAGNOSTIC,7FD48297D26628BA21C000395567F9D94F34D56955C942865EF8F5C9B5A38026,LEGACY_IDENTITY_CONFUND + BROKER_ENVIRONMENT_CONFUND / EXACT_PARITY_NOT_CERTIFIABLE,True,LIMITED_DIAGNOSTIC_ONLY,EXPLORATORY_POST_OUTCOME_ALIGNMENT,NOT_DURABLY_PRESERVED
