symbol,spot,sma200,atr20,chg5d_pct,data_status,asof,source_note
AUDJPY,109.994,109.1241,0.9864,-3.877,OK,2026-08-03 00:00,Yahoo AUDJPY=X (spot; broker exporter may refine)
USDJPY,156.087,157.9206,1.2552,-4.599,OK,2026-08-03 00:00,Yahoo JPY=X USD/JPY (spot; broker exporter may refine)
VIX,15.99,18.7045,2.104,-13.94,OK,2026-07-31 00:00,Yahoo ^VIX (CBOE Volatility Index)
DXY,99.764,99.1407,0.4718,-1.72,OK,2026-08-03 00:00,Yahoo DX-Y.NYB (ICE US Dollar Index)
XAUUSD,4118.5,4479.393,66.045,1.08,OK,2026-08-03 00:00,Yahoo GC=F (COMEX gold front future ~ spot; broker exporter may refine)
BTCUSD,63290.9883,71124.2243,1506.8031,-0.909,OK,2026-08-03 00:00,Yahoo BTC-USD (spot; broker exporter may refine)
US10Y_JP10Y,4.745,4.2792,0.0555,1.411,OK,2026-07-31 00:00,Yahoo ^TNX US10Y as spread proxy (JP10Y BOJ-pinned ~1%; 5d move = US leg)
COPPER,6.528,5.7986,0.1109,2.982,OK,2026-08-03 00:00,Yahoo HG=F (COMEX copper front future)
