window,year,trades,pf,net,balance_dd_pct
MAIN,2023,84,0.993658,-2.40,0.810622
MAIN,2024,87,0.873639,-39.81,1.090592
MAIN,2025,94,1.172521,64.59,1.275257
BWD,2020,101,0.939464,-39.95,2.186740
BWD,2021,72,1.252569,68.09,1.544746
BWD,2022,100,0.982539,-10.81,2.633809
