"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","has_mart_block","rough_family","already_known"
"earthmover_ea_sto_sl_combi_traililng","3","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\Earthmover EA STO ( SL combi +Traililng).mq4","248.2","iStochastic|iSAR","n","y","reversion","n"
"efcdivergence_trailing_stop_rr_ratio","3","D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\EFCDivergence-Trailing-Stop-RR-Ratio (2).mq4","286.4","iMACD","n","y","breakout","n"
"ema_cross_ses_bd","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\Template and Indicators (Jobot)\ultra-profit-scalping-system\MQL4\Indicators\EMA_Cross__SES__BDv8_12_31.mq4","4.6","iMA","n","n","trend","n"
"eqclose","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\EqClose.mq4","2.5","","n","n","other","n"
"equity_v","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\EA2 and Indicators set 2\EA and Indicators\Indicators\Equity_v7.mq4","26.4","","n","n","other","n"
"eu_system_kae_rev5_1_with_martingale_and_hedging","3","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\EU System Kae Rev5-1 with martingale and Hedging.mq4","284.3","iCustom|iMA|iRSI|iBands","y","y","reversion","n"
"euro_scalper","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\test 3\Euro Scalper.mq4","74.3","","n","n","grid-mart","n"
"ex127_gold_robot_scalping_dynamic_grid_zone_and_hedging_strategy_r","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\2025-07  _all done\EX127 - Gold Robot Scalping [Dynamic Grid Zone and Hedging Strategy] RV1(2).mq4","671","","n","n","other","n"
"ex131_advance_trading_robot_rsi_and_bb_strategy","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\2025-07  _all done\EX131 - Advance Trading Robot [RSI and BB Strategy](1).mq4","672.3","","n","n","other","n"
"ex132_gold_robot_scalping_hedging","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\2025-07  _all done\EX132 - Gold Robot Scalping [Hedging].mq4","531.7","","n","n","other","n"
"ex133_gold_robot_scalping_candlestick_patterns_with_high_winrate","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\2025-07  _all done\EX133 - Gold Robot Scalping [Candlestick Patterns with High Winrate].mq4","491.5","","n","n","other","n"
"ex135_semi_auto_ea","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\2025-07  _all done\EX135 - Semi Auto EA.mq4","697.6","","n","n","other","n"
"ex135_semi_auto_ea_v_1_with_bt","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\2025-07  _all done\EX135 - Semi Auto EA v.1 (with BT).mq4","762.4","","n","n","other","n"
"ex143_multi_group_scalping_ea_count_n_times_to_modify_lot_size_rv","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\2025-04\EX143 - Multi Group Scalping EA [Count N times To Modify Lot Size]RV1.mq4","735.3","","n","n","other","n"
"ex18_gts_and_profit_first_last_closing_oder_rv","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\EA fxdreema other id\EX18 - GTS and Profit First_Last Closing Oder RV1.mq4","583","","n","n","other","n"
"ex36_quasimodo_pattern_concept_rv","3","D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\EX36 - Quasimodo Pattern Concept RV1.mq4","348.9","iCustom","y","y","breakout","n"
"ex74_gold_robot_scalping_basic","3","D:\Forex\01_INBOX_NEW\2.1 review EA\3. ready to use\EX74 Gold Robot Scalping(Basic).mq4","223.6","iMA","n","y","trend","n"
"ex85_gold_robot_scalping_v2_time_bomb_up_down_and_trailing_stop","3","D:\Forex\01_INBOX_NEW\2.3 wait for test\EA fxdreema other id\EX85 - Gold Robot Scalping V2 [Time Bomb Up_Down and Trailing Stop].mq4","494.3","","n","n","other","n"
"ex85_gold_robot_scalping_v2_time_bomb_up_down_and_trailing_stop_mod","3","D:\Forex\01_INBOX_NEW\2.1 review EA\3. ready to use\EX85 - Gold Robot Scalping V2 [Time Bomb Up_Down and Trailing Stop] Mod1.mq4","282","","n","y","breakout","n"
"exportcsv","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\test 3\ExportCSV.mq4","2.8","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 05.mq4","576.3","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 02.mq4","640.3","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 06.mq4","576.6","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 08.mq4","491","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 01.mq4","559.6","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 09.mq4","578.9","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 07.mq4","514.3","","n","n","other","n"
"extreme_forex","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Extreme Forex 04.mq4","548.5","","n","n","other","n"
"extremetma_info","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ExtremeTMA info 040.mq4","26.4","iCustom|iMA|iATR","y","n","breakout","n"
"extremetmaline","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ExtremeTMALine.mq4","7.4","iATR","n","n","other","n"
"f1_prosystem","3","D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\F1 ProSystem (1).mq4","222.1","","n","y","other","n"
"fancy_meal_run","3","D:\Forex\01_INBOX_NEW\2.1 review EA\3. ready to use\Fancy Meal run.mq4","563.9","iRSI|iATR|iAO","n","y","reversion","n"
"fansimple8_4men","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FanSimple8_4MEn.mq4","14.6","iMA","n","n","trend","n"
"fast_profit_pro_v","3","D:\Forex\01_INBOX_NEW\2.1 review EA\3. ready to use\Fast Profit Pro V77.mq4","337.8","","n","y","breakout","n"
"fasttmaline","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FastTMALine.mq4","9.6","iATR","n","n","other","n"
"ferrufx_multi_info","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\Template and Indicators (Jobot)\final-trading-machine-system\MQL4\Indicators\FerruFx_Multi_info+_v1.2.mq4","71.9","iMA|iMACD|iADX|iCCI","n","n","oscillator","n"
"ferrufx_multi_info_thv","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FerruFx_Multi_info THV.mq4","98.7","iCustom|iMA|iRSI|iStochastic|iMACD|iADX|iCCI|iMomentum|iForce","y","n","oscillator","n"
"ffc","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ffc.mq4","34.7","iCustom","y","n","other","n"
"fibo_inber","3","D:\Forex\01_INBOX_NEW\2.1 review EA\0. Not work\_FIBO inber1.mq4","434.5","iCustom|iRSI","y","y","reversion","n"
"fibopiv_v3new","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FiboPiv_v3New.mq4","5.8","","n","n","other","n"
"fl","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FL02.mq4","7.4","iCustom|iMA|iATR","y","n","trend","n"
"fl","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FL13.mq4","4","","n","n","breakout","n"
"fl","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FL01.mq4","7.4","iCustom|iMA|iATR","y","n","trend","n"
"flat_pulse","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\Template and Indicators (Jobot)\ultra-profit-scalping-system\MQL4\Indicators\Flat Pulse.mq4","4.9","iMA|iATR|iMomentum","n","n","trend","n"
"flexy_the_dragon","3","D:\Forex\01_INBOX_NEW\2.2 EA test\June 24\Flexy The Dragon v2.7.mq4","222.2","iCustom|iRSI|iStochastic|iBands|iCCI|iATR","y","y","reversion","n"
"fluke_workshop_2_closeall","3","D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\(fluke) workshop 2 + Closeall2.mq4","318.5","","n","y","breakout","n"
"follow","3","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\Follow.mq4","2975.1","iCustom","y","y","breakout","n"
"follow_b_slrev_addx2_pensl","3","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\Follow_B(SLREV)ADDX2+penSL.mq4","1001.8","iCustom","y","y","breakout","n"
"followu_a","3","D:\Forex\01_INBOX_NEW\2.1 review EA\0. Not work\FollowU_A.mq4","1231.5","iCustom","y","y","breakout","n"
"fon","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Fon.mq4","3.1","","n","n","other","n"
"forex_reversal_indicator","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Test EA ok3\Indicator and Template\DJFIBO MT4\MQL4\Indicators\forex-reversal-indicator.mq4","19.8","","n","n","other","n"
"forex_robotron_v1_3_fix_x","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Forex Robotron v1.3_fix_x.mq4","50.3","","n","n","other","n"
"forexscalpingpro_alert","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ForexScalpingPro Alert.mq4","2.6","iMA","n","n","trend","n"
"forexscalpingpro_check","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ForexScalpingPro Check.mq4","2.3","iMA","n","n","trend","n"
"forexscalpingpro_trader","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ForexScalpingPro Trader.mq4","2.3","iMA","n","n","trend","n"
"forexsession","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\02 Bonus Indicators\08 Forex Sessions - open source\ForexSession.mq4","6","","n","n","other","n"
"fv_xatr_info","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FV_xATR_info.mq4","24.4","","n","n","other","n"
"fv_xsltp_info","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\FV_xSLTP_info.mq4","27.7","","n","n","other","n"
"fvg_p_nok_m","3","D:\Forex\01_INBOX_NEW\2.1 review EA\wait_Fxdreema MT5\FVG_P'Nok_M1.mq4","765.6","","n","n","other","n"
"fx_correlation_cci_v","3","D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\FX-Correlation-CCI-V.4.1.mq4","693.1","iRSI|iCCI","n","y","reversion","n"
"fx_snipers_ergodic_cci_trigger","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\test 3\FX_Snipers_Ergodic_CCI_Trigger.mq4","7.5","","n","n","other","n"
"fxcoregold_v9_mq","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\test 3\FXCOREGOLD V9 MQ4.mq4","69.9","iCustom|iMA","y","y","trend","n"
"fxdreema_lecture_bucketoftrades","3","D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\fxDreema_Lecture_BucketOfTrades.mq4","273.7","","n","y","other","n"
"gg_step_trade_ea","3","D:\Forex\01_INBOX_NEW\2.1 review EA\0. Not work\GG  Step trade EA.mq4","471.6","","n","n","other","n"
"glen_hi_lo_tp_revenge_close_all","3","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\Glen HI LO TP Revenge Close All V1.01.mq4","303.7","iCustom","y","y","breakout","n"
"gmmaslow","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Luxor - Scalping - Robot\Luxor-Scalping-Robot\MQL4\Indicators\GMMASlow.mq4","2.7","iMA","n","n","trend","n"
"gold_level","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Indy\GOLD\GOLD LEVEL.mq4","18.9","","n","n","other","n"
"gold_pickaxe_i","3","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\Gold Pickaxe I.mq4","269.3","iRSI|iATR","n","y","reversion","n"
"halftrend","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\HalfTrend-1.02.mq4","6.3","iMA|iATR","n","n","breakout","n"
"heatmap_gradient_scale","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\HeatMap-Gradient-Scale.mq4","36.5","","n","n","other","n"
"heatmapmodokiv","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\HeatMapModokiV1.mq4","7.7","","n","n","other","n"
"heiken_ashi_smoothed1lime","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\Heiken_Ashi_Smoothed1lime.mq4","4.2","iMA","n","n","trend","n"
"heikenashi","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\HeikenAshi3.mq4","3.6","","n","n","other","y"
"hft_ea","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\hft_ea(1).mq4","10.5","iCustom","y","n","breakout","n"
"high_low_v2_zigzag","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\High_Low v2 (ZigZag).mq4","3.1","","n","n","other","n"
"hma_v","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\test 3\HMA_v2.mq4","11.4","","n","n","other","n"
"hmaexpert","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\test 3\HMAExpert_v2.1.mq4","38.8","","n","n","other","n"
"hp","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\HP.mq4","2.1","","n","n","other","n"
"hp_diff","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\HP_DIFF.mq4","1.6","iCustom","y","n","other","n"
"i_cassierworktime","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\i-CassierWorkTime.mq4","5.2","","n","n","other","n"
"i_gentorlsma_ema","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\Template and Indicators (Jobot)\intraday-profit-machine\MQL4\Indicators\i-GentorLSMA_EMA.mq4","3.6","iMA","n","n","trend","n"
"i_profit","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\i-Profit v2.1.mq4","28.7","","n","n","other","n"
"i_profitlot","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\i-ProfitLot.mq4","25.4","","n","n","other","n"
"i_profittracker","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Indy\i-Profittracker.mq4","17.5","","n","n","other","n"
"i_screenshot","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\i-ScreenShot.mq4","5","","n","n","other","n"
"i_targets","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\0 - MQ5\wealth king nasdaqsoftware\#i-Targets.mq4","5.7","","n","n","other","n"
"ibuk_s_bread_nbutter_dashboard","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\Ibuk's Bread'nButter Dashboard.mq4","11.4","iMA","n","n","trend","n"
"icarus","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Icarus_2.2.mq4","234.5","","n","n","other","n"
"ice_news_v2_1_mt","3","D:\Forex\01_INBOX_NEW\2.1 review EA\wait_Fxdreema MT5\[ICE] News v2.1 MT4.mq4","412.9","iATR","n","y","breakout","n"
"ihistory_v1_9_fh","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\iHistory v1.9 (FH).mq4","18.5","","n","n","other","n"
"ii_supdem","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\II_SupDem.mq4","29","","n","n","breakout","n"
"ii_supdem_v","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\II_SupDem v2.mq4","29","","n","n","breakout","n"
"ii_supdem_v2_nmc","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\II_SupDem v2 nmc.mq4","27.9","","n","n","breakout","n"
"ikarus","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Ikarus_2.0.mq4","234","","n","n","other","n"
"ikarus","3","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\test 3\Ikarus_2.3.mq4","234.1","","n","n","other","n"
"il_boss_del_trading","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Oct 24\IL BOSS DEL TRADING.mq4","43.3","","n","n","other","n"
"indicator","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Oct 24\indicator02.mq4","6.6","iBands","n","n","other","n"
"inf_open_orders","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\Inf_Open_Orders.mq4","27.5","","n","n","other","n"
"infinix_ea","3","D:\Forex\01_INBOX_NEW\2.1 review EA\3. ready to use\Infinix EA.mq4","375.8","iATR","n","y","breakout","n"
"iprofitline_all","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\iProfitLine_All.mq4","9.9","","n","n","other","n"
"javier_gold_scalper","3","D:\Forex\01_INBOX_NEW\2.2 EA test\Oct 24\Javier Gold Scalper.mq4","107.7","","n","n","other","n"
"jobot_001_self_trend_line","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week8\(Jobot) 001 Self Trend Line  (1).mq4","809.3","","n","n","other","n"
"jobot_accumulative_grid_intelligence","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week5\(Jobot) Accumulative GRID Intelligence.mq4","313.8","","n","y","other","n"
"jobot_across_terminal","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Across Terminal.mq4","213.6","","n","n","other","n"
"jobot_across_terminal_trade_code","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Across Terminal (trade) code.mq4","246.9","","n","y","other","n"
"jobot_advance_indicators_line_notification","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Advance Indicators Line Notification.mq4","457","iRSI|iStochastic|iMACD","n","n","oscillator","n"
"jobot_advance_telegram_signal","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Advance Telegram Signal .mq4","397.7","iMA|iRSI|iBands|iATR","n","y","reversion","n"
"jobot_atr_recovery_hedging_system_plus","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\jobot EA\(Jobot)  ATR Recovery Hedging System Plus v1.1.mq4","305.4","iCustom","y","y","breakout","n"
"jobot_atr_recovery_hedging_system_plus","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week5\(Jobot)  ATR Recovery Hedging System Plus v1.1.mq4","297.5","iCustom","y","y","breakout","n"
"jobot_balance_trailing","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\EA Q_A\(Jobot) Balance Trailing.mq4","424","","n","n","other","n"
"jobot_basic_scalping_and_trailing","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Basic Scalping and Trailing.mq4","222.3","iSAR|iATR","n","y","breakout","n"
"jobot_basic_scalping_and_trailing_by_fractal","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Basic Scalping and Trailing by Fractal.mq4","224.8","iSAR","n","y","breakout","n"
"jobot_big_ma","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) BIG MA .mq4","353.4","","n","n","other","n"
"jobot_billionaire_news_ea_atr_hand","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Billionaire News EA ATR Hand.mq4","688.4","","n","n","other","n"
"jobot_billionaire_news_nonfarm_ea","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Billionaire News Nonfarm EA.mq4","318.5","iSAR|iATR","n","y","breakout","n"
"jobot_billionaire_news_nonfarm_ea_buy","3","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\(Jobot) Billionaire News Nonfarm\(Jobot) Billionaire News Nonfarm EA_BUY.mq4","661.4","","n","n","other","n"
"jobot_billionaire_news_nonfarm_ea_sell","3","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\(Jobot) Billionaire News Nonfarm\(Jobot) Billionaire News Nonfarm EA_SELL.mq4","661.4","","n","n","other","n"
"jobot_bolinger_band_basic_ea","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week1\(Jobot) Bolinger Band Basic EA.mq4","173.7","iBands","n","y","breakout","n"
"jobot_bolinger_band_basic_ea_reverse","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week1\(Jobot) Bolinger Band Basic EA reverse.mq4","176.5","iBands","n","y","breakout","n"
"jobot_bolinger_band_basic_ea_v","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week1\(Jobot) Bolinger Band Basic EA v2.mq4","176.5","iBands","n","y","breakout","n"
"jobot_bucket_of_trades","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week2\(Jobot) Bucket of Trades.mq4","281.6","","n","y","breakout","n"
"jobot_button_system","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\((JOBOT)) BUTTON SYSTEM.mq4","244.1","","n","y","other","n"
"jobot_carry_trade_line_v","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Carry Trade Line v.1.8.mq4","345.2","","n","n","other","n"
"jobot_carry_trade_open_order","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Carry Trade Open Order .mq4","197.6","","n","y","other","n"
"jobot_carry_trade_swap_calculation","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Carry Trade Swap Calculation.mq4","264.1","","n","n","other","n"
"jobot_carry_trade_swap_calculation","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Carry Trade Swap Calculation.mq4","261.6","","n","n","other","n"
"jobot_cci_scalping","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\EA Homeworks\Homework Week4\(Jobot) CCI Scalping.mq4","160.1","iCCI","n","y","reversion","n"
"jobot_cci_scalping","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\EA Q_A\(Jobot) CCI Scalping.mq4","160.1","iCCI","n","y","reversion","n"
"jobot_classic_style_dashboard","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Classic Style Dashboard.mq4","449.4","iMA","n","y","breakout","n"
"jobot_close_system_mudley","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week5\(Jobot) Close System Mudley  (1).mq4","388.3","","n","n","other","n"
"jobot_closing_scalping_high_velocity_trading_gold_v","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Closing Scalping High Velocity Trading Gold v1.mq4","387.2","","n","n","other","n"
"jobot_copy_hedge_mt","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Copy Hedge MT4.mq4","345.2","","n","y","other","n"
"jobot_copy_trade_hedge_mt4_suffix","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Copy Trade Hedge MT4 Suffix.mq4","470.2","","n","y","other","n"
"jobot_dashboard_buy_sell_pending_calculation","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week10\(Jobot) Dashboard Buy Sell Pending Calculation.mq4","305.4","","n","y","breakout","n"
"jobot_democracy_indicators","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\EA Homeworks\Homework Week4\(Jobot) Democracy Indicators .mq4","666.1","","n","n","other","n"
"jobot_dow_theory_trailing","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Dow Theory Trailing  (1).mq4","445.6","","n","n","other","n"
"jobot_dow_theory_trailing","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Dow Theory Trailing  (2).mq4","445","","n","n","other","n"
"jobot_dow_theory_trailing_partial","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Dow Theory Trailing Partial .mq4","455","","n","n","other","n"
"jobot_dow_theory_trailing_stock_tomorrow","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Dow Theory Trailing Stock tomorrow.mq4","243.6","iCustom","y","y","breakout","n"
"jobot_dynamic_rsi_highest_lowest_break","3","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\EA Q_A\(Jobot) Dynamic RSI Highest Lowest Break.mq4","406.8","","n","n","other","n"
