"report","pf","trades","net","eqdd_pct","leverage","truncated","cutloss"
"O222_S2_ld125000_cut30","0.38","1470","-8 494.97","90.43","100","False","30"
"O222_S2_ld125000_cut100","1.98","1411","44 208.06","55.16","100","False","100"
