cell_id,symbol,tf,window,from_date,to_date,model,set_path,report_name,holdout,optimization
H2-C01-MAIN,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H2_B19_XAUUSD_H4_MAIN_M1,NO,NO
H2-C01-BWD,XAUUSD,H4,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H2_B19_XAUUSD_H4_BWD_M1,NO,NO
H2-C02-MAIN,EURUSD,H1,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H2_B19_EURUSD_H1_MAIN_M1,NO,NO
H2-C02-BWD,EURUSD,H1,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H2_B19_EURUSD_H1_BWD_M1,NO,NO
H2-C03-MAIN,AUDUSD,M15,MAIN,2023.01.01,2025.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H2_B19_AUDUSD_M15_MAIN_M1,NO,NO
H2-C03-BWD,AUDUSD,M15,BWD,2020.01.01,2022.12.31,1,ea_template/sets/probe/Boss_19_AdaptiveTrendGrid_V0_STOP_VALIDATION_CENTER.set,H2_B19_AUDUSD_M15_BWD_M1,NO,NO
