variant,set,context,symbol,tf,window,from,to,report_name,execution_state
BASKETTP_OFF,sets/BASKETTP_OFF.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_BASKETTP_OFF_XAU_M15_BWD_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_OVERLAP_OFF_XAU_H4_MAIN_M1,REUSED_ACCEPTED
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_OVERLAP_OFF_XAU_H4_BWD_M1,REUSED_ACCEPTED
OVERLAP_OFF,sets/OVERLAP_OFF.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_OVERLAP_OFF_USDJPY_H1_MAIN_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_OVERLAP_OFF_USDJPY_H1_BWD_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_OVERLAP_OFF_XAU_M15_MAIN_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_OVERLAP_OFF_XAU_M15_BWD_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_PIPFLOOR_OFF_XAU_H4_MAIN_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_PIPFLOOR_OFF_XAU_H4_BWD_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_PIPFLOOR_OFF_USDJPY_H1_MAIN_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_PIPFLOOR_OFF_USDJPY_H1_BWD_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_PIPFLOOR_OFF_XAU_M15_MAIN_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_PIPFLOOR_OFF_XAU_M15_BWD_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_DEEP_SPACING_EQUAL_XAU_H4_MAIN_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_DEEP_SPACING_EQUAL_XAU_H4_BWD_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_DEEP_SPACING_EQUAL_USDJPY_H1_MAIN_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_DEEP_SPACING_EQUAL_USDJPY_H1_BWD_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_DEEP_SPACING_EQUAL_XAU_M15_MAIN_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_DEEP_SPACING_EQUAL_XAU_M15_BWD_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_SELL_DIRECTION_XAU_H4_MAIN_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_SELL_DIRECTION_XAU_H4_BWD_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_SELL_DIRECTION_USDJPY_H1_MAIN_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_SELL_DIRECTION_USDJPY_H1_BWD_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_SELL_DIRECTION_XAU_M15_MAIN_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_SELL_DIRECTION_XAU_M15_BWD_M1,NEW
