variant,context,window,year,full_window_eligible,cycles,trades,pf,net,active_share,realized_balance_dd
DEPTH2,EUR_H4,MAIN,2023,True,23,23,,23.77,0.015922,0.0
DEPTH2,EUR_H4,MAIN,2024,True,25,25,91.92,22.73,0.033838,0.2
DEPTH2,EUR_H4,MAIN,2025,True,12,14,,74.59,0.115545,0.0
DEPTH2,GBP_H4,BWD,2020,True,17,20,0.8116,-29.08,0.079575,85.28
DEPTH2,GBP_H4,BWD,2021,True,9,11,0.7675,-14.88,0.120386,26.01
DEPTH2,GBP_H4,BWD,2022,True,6,14,0.2823,-297.51,0.151194,332.85
DEPTH2,GBP_H4,MAIN,2023,True,16,17,,53.31,0.023921,0.0
DEPTH2,GBP_H4,MAIN,2024,True,21,21,,28.19,0.006622,0.0
DEPTH2,GBP_H4,MAIN,2025,True,17,20,1.4508,28.78,0.108882,26.25
DEPTH2,USDJPY_H1,BWD,2020,True,17,20,0.467,-50.19,0.026194,52.85
DEPTH2,USDJPY_H1,BWD,2021,True,64,67,2.0755,48.44,0.367523,9.4
DEPTH2,USDJPY_H1,BWD,2022,True,79,86,1.5597,71.02,0.107631,88.45
DEPTH2,USDJPY_H1,MAIN,2023,True,93,99,3.2234,145.3,0.061203,32.12
DEPTH2,USDJPY_H1,MAIN,2024,True,57,66,1.6271,78.81,0.131024,89.98
DEPTH2,USDJPY_H1,MAIN,2025,True,64,70,1.3578,37.4,0.160519,70.63
DEPTH2,XAU_H4,BWD,2020,True,20,27,2.7465,189.71,0.022581,51.98
DEPTH2,XAU_H4,BWD,2021,True,26,38,1.0163,6.04,0.032509,316.09
DEPTH2,XAU_H4,BWD,2022,True,22,30,1.219,46.33,0.137069,179.51
DEPTH2,XAU_H4,MAIN,2023,True,9,14,0.3455,-236.78,0.146317,326.29
DEPTH2,XAU_H4,MAIN,2024,True,13,18,1.7204,85.28,0.017034,61.71
DEPTH2,XAU_H4,MAIN,2025,True,11,14,,205.89,0.004653,0.0
DEPTH2,XAU_M15,BWD,2020,True,81,130,0.8915,-136.42,0.206516,357.0
DEPTH2,XAU_M15,BWD,2021,True,87,132,0.5897,-597.5,0.227808,762.38
DEPTH2,XAU_M15,BWD,2022,True,137,202,0.9033,-150.32,0.197946,679.09
DEPTH2,XAU_M15,MAIN,2023,True,68,115,0.9179,-90.94,0.236919,496.93
DEPTH2,XAU_M15,MAIN,2024,True,135,197,1.3486,424.83,0.179642,225.4
DEPTH2,XAU_M15,MAIN,2025,True,205,290,1.7976,1306.13,0.104512,314.19
DEPTH4,EUR_H4,BWD,2020,True,14,15,,53.41,0.03478,0.0
DEPTH4,EUR_H4,BWD,2021,True,17,17,,16.83,0.008681,0.0
DEPTH4,EUR_H4,BWD,2022,True,9,22,0.17,-518.94,0.411675,593.07
DEPTH4,EUR_H4,MAIN,2023,True,23,23,,23.77,0.015922,0.0
DEPTH4,EUR_H4,MAIN,2024,True,25,25,91.92,22.73,0.033838,0.2
DEPTH4,EUR_H4,MAIN,2025,True,12,16,4.4485,80.04,0.11485,0.0
DEPTH4,GBP_H4,BWD,2020,True,17,24,1.0712,12.05,0.062866,65.01
DEPTH4,GBP_H4,BWD,2021,True,1,1,,1.24,0.002237,0.0
DEPTH4,GBP_H4,BWD,2022,True,2,25,0.1712,-886.92,0.429608,889.78
DEPTH4,GBP_H4,MAIN,2023,True,16,17,,53.31,0.023921,0.0
DEPTH4,GBP_H4,MAIN,2024,True,21,21,,28.19,0.006622,0.0
DEPTH4,GBP_H4,MAIN,2025,True,17,22,1.4351,34.48,0.101199,20.55
DEPTH4,USDJPY_H1,BWD,2020,True,90,98,0.7357,-44.89,0.147307,85.54
DEPTH4,USDJPY_H1,BWD,2021,True,75,76,7.0106,56.5,0.064016,9.4
DEPTH4,USDJPY_H1,BWD,2022,True,78,91,0.9398,-14.45,0.107397,196.86
DEPTH4,USDJPY_H1,MAIN,2023,True,96,104,2.5154,137.39,0.054499,58.09
DEPTH4,USDJPY_H1,MAIN,2024,True,75,88,1.2149,47.05,0.083665,155.91
DEPTH4,USDJPY_H1,MAIN,2025,True,64,76,1.2693,40.9,0.157141,83.21
DEPTH4,XAU_H4,BWD,2020,True,20,31,2.5024,200.24,0.022575,47.81
DEPTH4,XAU_H4,BWD,2021,True,23,58,0.8407,-120.92,0.062296,580.99
DEPTH4,XAU_H4,BWD,2022,True,28,44,9.9813,351.35,0.039718,0.0
DEPTH4,XAU_H4,MAIN,2023,True,18,30,26.1909,255.94,0.032873,0.0
