variant,context,window,full_window_eligible,cycle_count,closed_ticket_count,max_simultaneous_positions,max_basket_depth,configured_cap_overlay,cap_contact_overlay,parser_configured_cap_raw,parser_cap_contact_raw,max_aggregate_lots,max_entry_price_span,active_time_share,multi_entry_gp_share,top_profitable_cycle_gp_share,directions
DEPTH4,XAU_M15,MAIN,True,468,1153,4,4,4,True,10,False,0.04,216.05,0.333094,0.911722,0.010255,buy
DEPTH5,EUR_H4,BWD,True,32,48,5,5,5,True,10,False,0.05,0.24044,0.383077,0.763419,0.201297,buy
DEPTH5,EUR_H4,MAIN,True,60,64,4,4,5,False,10,False,0.04,0.04701,0.12357,0.618267,0.404733,buy
DEPTH5,GBP_H4,BWD,True,22,56,5,5,5,True,10,False,0.05,0.2865,0.349445,0.943836,0.106749,buy
DEPTH5,GBP_H4,MAIN,True,54,60,4,4,5,False,10,False,0.04,0.06084,0.098897,0.632056,0.167196,buy
DEPTH5,USDJPY_H1,BWD,True,243,267,5,5,5,True,10,False,0.05,13.105,0.239258,0.684343,0.109835,buy
DEPTH5,USDJPY_H1,MAIN,True,239,274,5,5,5,True,10,False,0.05,16.011,0.216825,0.746102,0.066507,buy
DEPTH5,XAU_H4,BWD,True,70,137,5,5,5,True,10,False,0.05,112.02,0.094294,0.864238,0.086111,buy
DEPTH5,XAU_H4,MAIN,True,42,74,5,5,5,True,10,False,0.05,81.4,0.038832,0.774277,0.136986,buy
DEPTH5,XAU_M15,BWD,True,350,1060,5,5,5,True,10,False,0.05,169.56,0.429601,0.956635,0.013934,buy
DEPTH5,XAU_M15,MAIN,True,460,1230,5,5,5,True,10,False,0.05,284.2,0.333541,0.927499,0.008981,buy
OVERLAP_OFF,EUR_H4,BWD,True,32,48,6,6,10,False,10,False,0.06,0.23167,0.383076,0.740637,0.220681,buy
OVERLAP_OFF,EUR_H4,MAIN,True,60,64,4,4,10,False,10,False,0.04,0.04701,0.123558,0.647283,0.449982,buy
OVERLAP_OFF,GBP_H4,BWD,True,22,57,8,8,10,False,10,False,0.08,0.3042,0.346714,0.946081,0.10248,buy
OVERLAP_OFF,GBP_H4,MAIN,True,54,60,4,4,10,False,10,False,0.04,0.06084,0.098897,0.655607,0.156494,buy
OVERLAP_OFF,USDJPY_H1,BWD,True,243,264,7,7,10,False,10,False,0.07,12.606,0.239258,0.622055,0.131509,buy
OVERLAP_OFF,USDJPY_H1,MAIN,True,239,274,7,7,10,False,10,False,0.07,15.627,0.216808,0.753989,0.064441,buy
OVERLAP_OFF,XAU_M15,BWD,False,290,952,10,10,10,True,10,True,0.1,174.06,0.400973,0.971311,0.017072,buy
OVERLAP_OFF,XAU_M15,MAIN,True,450,1213,10,10,10,True,10,True,0.1,216.05,0.340269,0.941089,0.013262,buy
PIPFLOOR_OFF,EUR_H4,BWD,True,20,125,10,10,10,True,10,True,0.1,0.13641,0.407839,0.972372,0.139167,buy
PIPFLOOR_OFF,EUR_H4,MAIN,True,23,120,10,10,10,True,10,True,0.1,0.0796,0.44024,0.981755,0.156292,buy
PIPFLOOR_OFF,GBP_H4,BWD,True,33,155,10,10,10,True,10,True,0.1,0.15447,0.256014,0.977625,0.092883,buy
PIPFLOOR_OFF,GBP_H4,MAIN,True,40,117,10,10,10,True,10,True,0.1,0.0825,0.225757,0.952137,0.093486,buy
PIPFLOOR_OFF,USDJPY_H1,BWD,True,64,423,10,10,10,True,10,True,0.1,9.776,0.513982,0.981995,0.073777,buy
PIPFLOOR_OFF,USDJPY_H1,MAIN,True,91,501,10,10,10,True,10,True,0.1,15.399,0.452533,0.982376,0.044887,buy
PIPFLOOR_OFF,XAU_H4,BWD,True,70,148,8,8,10,False,10,False,0.08,111.44,0.093408,0.87889,0.076817,buy
PIPFLOOR_OFF,XAU_H4,MAIN,True,42,79,10,10,10,True,10,True,0.1,81.4,0.03876,0.797996,0.122591,buy
PIPFLOOR_OFF,XAU_M15,BWD,True,378,1483,10,10,10,True,10,True,0.1,145.41,0.394513,0.968242,0.014371,buy
PIPFLOOR_OFF,XAU_M15,MAIN,True,495,1572,10,10,10,True,10,True,0.1,216.05,0.31577,0.935119,0.007341,buy
SELL_DIRECTION,EUR_H4,BWD,True,47,62,5,5,10,False,10,False,0.05,0.12207,0.261055,0.699212,0.015658,sell
SELL_DIRECTION,EUR_H4,MAIN,True,52,64,5,5,10,False,10,False,0.05,0.12551,0.285369,0.713192,0.230317,sell
SELL_DIRECTION,GBP_H4,BWD,True,69,76,4,4,10,False,10,False,0.04,0.04538,0.089294,0.58936,0.1662,sell
SELL_DIRECTION,GBP_H4,MAIN,True,70,80,4,4,10,False,10,False,0.04,0.04543,0.197051,0.709579,0.152359,sell
SELL_DIRECTION,USDJPY_H1,BWD,True,243,272,4,4,10,False,10,False,0.04,10.652,0.229113,0.645639,0.08812,sell
SELL_DIRECTION,USDJPY_H1,MAIN,True,114,168,5,5,10,False,10,False,0.05,12.114,0.482951,0.843981,0.091024,sell
SELL_DIRECTION,XAU_H4,BWD,True,99,196,9,9,10,False,10,False,0.09,138.53,0.087929,0.847748,0.058495,sell
SELL_DIRECTION,XAU_H4,MAIN,True,138,325,10,10,10,True,10,True,0.1,195.34,0.150475,0.866411,0.043745,sell
SELL_DIRECTION,XAU_M15,BWD,False,67,393,10,10,10,True,10,True,0.1,178.09,0.091998,0.967548,0.074321,sell
SELL_DIRECTION,XAU_M15,MAIN,False,348,1521,10,10,10,True,10,True,0.1,196.6,0.280233,0.967005,0.013798,sell
SINGLETP_OFF,EUR_H4,BWD,True,4,14,5,5,10,False,10,False,0.05,0.10958,0.711368,0.616557,0.383443,buy
SINGLETP_OFF,EUR_H4,MAIN,True,6,18,4,4,10,False,10,False,0.04,0.07611,0.594479,0.825738,0.174262,buy
SINGLETP_OFF,GBP_H4,BWD,True,7,40,8,8,10,False,10,False,0.08,0.2828,0.593384,0.851319,0.148681,buy
SINGLETP_OFF,GBP_H4,MAIN,True,2,3,2,2,10,False,10,False,0.02,0.01546,0.712382,0.186301,0.813699,buy
SINGLETP_OFF,USDJPY_H1,BWD,True,5,15,3,3,10,False,10,False,0.03,6.643,0.733968,1.0,0.698897,buy
SINGLETP_OFF,USDJPY_H1,MAIN,True,2,4,3,3,10,False,10,False,0.03,3.017,0.738728,0.179519,0.820481,buy
SINGLETP_OFF,XAU_H4,BWD,True,2,4,3,3,10,False,10,False,0.03,39.95,0.725716,1.0,1.0,buy
SINGLETP_OFF,XAU_H4,MAIN,True,8,43,10,10,10,True,10,True,0.1,88.38,0.580175,0.251531,0.748469,buy
SINGLETP_OFF,XAU_M15,BWD,True,94,847,10,10,10,True,10,True,0.1,188.2,0.586159,0.993327,0.015159,buy
SINGLETP_OFF,XAU_M15,MAIN,True,30,326,10,10,10,True,10,True,0.1,116.53,0.707538,0.590952,0.409048,buy
