variant,context,symbol,tf,source,mechanically_eligible,verdict,parent_main_net,child_main_net,delta_main_net,parent_bwd_net,child_bwd_net,delta_bwd_net,parent_main_dd,child_main_dd,delta_main_dd_pp,parent_bwd_dd,child_bwd_dd,delta_bwd_dd_pp,child_main_pf,child_bwd_pf,child_main_trades,child_bwd_trades,cage_kill_main,cage_kill_bwd
BASKETTP_OFF,XAU_M15,XAUUSD,M15,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,2643.64,3453.07,809.43,1002.69,-990.88,-1993.57,11.88,11.03,-0.85,14.86,20.5,5.64,19.35,0.18,16,31,False,False
BASKETTP_OFF,EUR_H4,EURUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,126.54,259.86,133.32,-553.81,-138.33,415.48,1.42,1.42,0.0,8.46,8.83,0.37,12.08,0.68,52,12,False,False
BASKETTP_OFF,GBP_H4,GBPUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,115.98,389.29,273.31,-736.29,-456.59,279.7,1.93,3.9,1.97,10.61,13.5,2.89,0.0,0.56,3,24,False,False
OVERLAP_OFF,XAU_H4,XAUUSD,H4,REUSED_BT1_ACCEPTED,True,HYPOTHESIS_NOT_FALSIFIED,707.78,-924.01,-1631.79,512.69,890.51,377.82,6.27,22.28,16.01,8.29,7.7,-0.59,0.51,1.94,72,141,False,False
OVERLAP_OFF,USDJPY_H1,USDJPY,H1,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,252.53,296.43,43.9,44.1,-147.08,-191.18,3.85,3.85,0.0,2.4,3.98,1.58,1.65,0.72,274,264,False,False
OVERLAP_OFF,XAU_M15,XAUUSD,M15,NEW_MATRIX_OR_EXTENSION,False,UNKNOWN_MECHANICAL_INELIGIBLE,2643.64,642.4,-2001.24,1002.69,-1370.4,-2373.09,11.88,21.99,10.11,14.86,25.01,10.15,1.05,0.88,1213,952,False,True
OVERLAP_OFF,EUR_H4,EURUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,126.54,153.4,26.86,-553.81,-635.4,-81.59,1.42,1.42,0.0,8.46,9.4,0.94,18.16,0.19,64,48,False,False
OVERLAP_OFF,GBP_H4,GBPUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,115.98,142.68,26.7,-736.29,-1074.85,-338.56,1.93,1.93,0.0,10.61,15.21,4.6,3.17,0.33,60,57,False,False
PIPFLOOR_OFF,XAU_H4,XAUUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,707.78,707.78,0.0,512.69,512.69,0.0,6.27,6.27,0.0,8.29,8.29,0.0,4.08,1.44,79,148,False,False
PIPFLOOR_OFF,USDJPY_H1,USDJPY,H1,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,252.53,1263.49,1010.96,44.1,523.95,479.85,3.85,6.4,2.55,2.4,6.76,4.36,1.83,1.36,501,423,False,False
PIPFLOOR_OFF,XAU_M15,XAUUSD,M15,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,2643.64,2083.33,-560.31,1002.69,1019.92,17.23,11.88,14.11,2.23,14.86,14.31,-0.55,1.19,1.1,1572,1483,False,False
PIPFLOOR_OFF,EUR_H4,EURUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,126.54,270.84,144.3,-553.81,-525.23,28.58,1.42,5.75,4.33,8.46,10.45,1.99,1.51,0.61,120,125,False,False
PIPFLOOR_OFF,GBP_H4,GBPUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,115.98,622.52,506.54,-736.29,-782.98,-46.69,1.93,4.76,2.83,10.61,14.16,3.55,3.51,0.63,117,155,False,False
DEEP_SPACING_EQUAL,XAU_H4,XAUUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,707.78,700.92,-6.86,512.69,63.25,-449.44,6.27,7.31,1.04,8.29,12.73,4.44,4.4,1.04,80,164,False,False
DEEP_SPACING_EQUAL,USDJPY_H1,USDJPY,H1,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,252.53,252.53,0.0,44.1,44.1,0.0,3.85,3.85,0.0,2.4,2.4,0.0,1.53,1.11,275,267,False,False
DEEP_SPACING_EQUAL,XAU_M15,XAUUSD,M15,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,2643.64,3111.52,467.88,1002.69,374.56,-628.13,11.88,12.98,1.1,14.86,21.41,6.55,1.28,1.03,1682,1583,False,False
DEEP_SPACING_EQUAL,EUR_H4,EURUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,126.54,126.54,0.0,-553.81,-553.81,0.0,1.42,1.42,0.0,8.46,8.46,0.0,6.39,0.25,64,51,False,False
DEEP_SPACING_EQUAL,GBP_H4,GBPUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,115.98,115.98,0.0,-736.29,-736.29,0.0,1.93,1.93,0.0,10.61,10.61,0.0,2.46,0.44,60,61,False,False
SELL_DIRECTION,XAU_H4,XAUUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,707.78,157.21,-550.57,512.69,729.19,216.5,6.27,14.61,8.34,8.29,8.79,0.5,1.04,1.58,325,196,False,False
SELL_DIRECTION,USDJPY_H1,USDJPY,H1,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,252.53,-488.21,-740.74,44.1,-182.33,-226.43,3.85,5.43,1.58,2.4,3.47,1.07,0.52,0.67,168,272,False,False
SELL_DIRECTION,XAU_M15,XAUUSD,M15,NEW_MATRIX_OR_EXTENSION,False,UNKNOWN_MECHANICAL_INELIGIBLE,2643.64,-2330.25,-4973.89,1002.69,-2504.95,-3507.64,11.88,25.08,13.2,14.86,25.18,10.32,0.81,0.47,1521,393,True,True
SELL_DIRECTION,EUR_H4,EURUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,126.54,-52.14,-178.68,-553.81,-214.92,338.89,1.42,3.44,2.02,8.46,3.55,-4.91,0.8,0.48,64,62,False,False
SELL_DIRECTION,GBP_H4,GBPUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,115.98,283.2,167.22,-736.29,268.97,1005.26,1.93,1.72,-0.21,10.61,1.27,-9.34,7.97,14.36,80,76,False,False
