variant,context,symbol,tf,window,pf,net,trades,native_eqdd_pct,report_sha256,set_sha256,build_receipt,ex5_sha256,source,sidecar_truncated,cage_kill_confirmed,full_window_eligible,parse_error
DEEP_SPACING_EQUAL,USDJPY_H1,USDJPY,H1,BWD,1.11,44.1,267,2.4,5faba66ab69ad730fb1de928ac1f640aef3e7decdd98a9ae7ec624d30774e0cb,29d02543ad49a7c6335510d71fe3607dad8d97f900a084e01f3b768ec6703207,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEEP_SPACING_EQUAL,USDJPY_H1,USDJPY,H1,MAIN,1.53,252.53,275,3.85,b9ff682fca2b1b3dcde515b56ddb7f3c787fa946cbcbd4bca4b6b2123ae35453,29d02543ad49a7c6335510d71fe3607dad8d97f900a084e01f3b768ec6703207,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEEP_SPACING_EQUAL,XAU_H4,XAUUSD,H4,BWD,1.04,63.25,164,12.73,67d58cf57f294dcbe042a943f679bb612a95db7d1b8f5a65c4fe606ca33dc750,29d02543ad49a7c6335510d71fe3607dad8d97f900a084e01f3b768ec6703207,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEEP_SPACING_EQUAL,XAU_H4,XAUUSD,H4,MAIN,4.4,700.92,80,7.31,1da440acecc1cb0f309c3c4720df94fea76b83bf32e4056b2a9e1c9ed3025128,29d02543ad49a7c6335510d71fe3607dad8d97f900a084e01f3b768ec6703207,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEEP_SPACING_EQUAL,XAU_M15,XAUUSD,M15,BWD,1.03,374.56,1583,21.41,144d416764014bc068323ef11caee022d063cd24f27ed64d9dfadb9e1e3f334a,29d02543ad49a7c6335510d71fe3607dad8d97f900a084e01f3b768ec6703207,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEEP_SPACING_EQUAL,XAU_M15,XAUUSD,M15,MAIN,1.28,3111.52,1682,12.98,aff636b63df65fad205bea12bd53b5655e3eb1aa114a8c9e9d34892bf81a1bc2,29d02543ad49a7c6335510d71fe3607dad8d97f900a084e01f3b768ec6703207,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH2,EUR_H4,EURUSD,H4,BWD,0.85,-41.37,54,2.22,691737573850ff1935f88eba0f5b9027c26d7cf5514fe2676acc784925cf38cf,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH2,EUR_H4,EURUSD,H4,MAIN,485.36,121.09,62,0.95,27e37a51fbf2d1d6b2a72e86babff6c4d08952bebfa7b1803c93206db2b16efa,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH2,GBP_H4,GBPUSD,H4,BWD,0.46,-341.47,45,5.08,738cfdd0c67ad1f4240614b59eb5c224d763bc4f1a130c0c6c38b5f249283482,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH2,GBP_H4,GBPUSD,H4,MAIN,2.73,110.28,58,1.42,0bd30dac189da221a24273f90ed7624e3fcbfcccdc9bddd3f1f8214f1b66e0b3,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH2,USDJPY_H1,USDJPY,H1,BWD,1.26,69.27,173,1.49,d817bbb92de3dfd1e95a85334b3bccbde6d39ede60282bccfea1ab6449cced78,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH2,USDJPY_H1,USDJPY,H1,MAIN,1.88,261.51,235,2.37,7669916a732802e389f7c9dc45b09c62a99d988fd6ac44bb2792674c33712f83,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH2,XAU_H4,XAUUSD,H4,BWD,1.35,242.08,95,5.36,dbf66aed4e5081e2264a2002e1b6627208359b0cee34bfa59acb0d9b579270c2,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH2,XAU_H4,XAUUSD,H4,MAIN,1.11,54.39,46,5.7,1554fc38994e830f275f69e604668270ff19ae7123e6147c010a3488bb11bd14,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
