variant,source_variant,window,net,pf,pf_mt5_field,pf_state,gross_profit,gross_loss,trades,eqdd,cycles,active_time_share,max_depth,duration_mean_days,duration_p50_days,duration_p90_days,duration_max_days,top1_gp_share,top3_gp_share
MATCHED_OUTPUT_CONTROL,DEEP_SPACING_EQUAL,MAIN,252.53,1.53,1.53,FINITE,731.27,-478.74,275,3.85% (396.11),239,0.216811,7,1.3244522896327289,0.02824074074074074,1.298055555555563,85.61712962962963,0.12509743323259537,0.30181738619114695
MATCHED_OUTPUT_CONTROL,DEEP_SPACING_EQUAL,BWD,44.1,1.11,1.11,FINITE,447.67,-403.57,267,2.40% (244.65),243,0.239258,5,1.4375175278158818,0.030324074074074073,1.7843518518518589,71.21574074074074,0.16614917238144167,0.3838765161837961
SINGLETP_OFF,SINGLETP_OFF,MAIN,276.74,,0.0,UNDEFINED_NO_GROSS_LOSS,276.74,0.0,4,1.21% (124.29),2,0.738728,3,539.2717534722221,539.2717534722223,958.521008101852,1063.3333217592592,0.8204813182048132,1.0
SINGLETP_OFF,SINGLETP_OFF,BWD,229.74,2.6,2.6,FINITE,373.66,-143.92,15,1.50% (150.24),5,0.733968,3,214.3185625,67.56157407407407,529.7342060185186,835.4131828703704,0.6988973933522453,0.9140930257453299
BASKETTP_OFF,BASKETTP_OFF,MAIN,477.2,,0.0,UNDEFINED_NO_GROSS_LOSS,477.2,0.0,10,2.36% (246.95),9,0.742242,2,120.40807484567901,0.030787037037037036,216.9009236111113,1083.0833217592592,0.9781852472757753,0.9848910310142497
BASKETTP_OFF,BASKETTP_OFF,BWD,445.38,4.58,4.58,FINITE,569.64,-124.26,21,2.03% (216.24),17,0.720458,3,61.87460443899782,0.03726851851851852,5.608935185185187,1036.829849537037,0.9855347236851345,0.9883435152025841
