Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSwingPeriod,InpRiskReward,InpLotMultiplier,InpMinGapPts,InpTakeProfitUSD,InpDailyTargetUSD,InpSLBufferPts,InpMaxRecoverySteps,reject_reasons,score
1619,7863.89,12.807638,1.263458,2.713792,2.943122,14.8639,614,7,2.0,1.2,400,80,180,15,5,MAX_RECOVERY_STEPS_GT_3,59.2258
1184,7357.79,10.868227,1.193433,3.063078,2.382744,13.0876,677,6,2.5,1.2,150,120,300,30,7,MAX_RECOVERY_STEPS_GT_3,59.1890
1612,7786.83,11.076572,1.195676,3.044585,2.355110,13.1700,703,5,2.5,1.0,200,160,260,15,5,MAX_RECOVERY_STEPS_GT_3,59.1579
1023,7333.05,10.643033,1.188948,3.054534,2.393375,13.1017,689,6,2.5,1.0,100,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,59.1523
1643,7349.33,10.855731,1.193246,3.061315,2.380335,13.0895,677,6,2.5,1.2,150,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,59.1254
1137,11875.99,17.594059,1.278743,2.411109,3.524809,18.8571,675,6,3.0,1.0,350,160,300,15,7,MAX_RECOVERY_STEPS_GT_3,59.1231
1532,7788.10,11.078378,1.195549,3.042714,2.353223,13.1785,703,5,2.5,1.0,200,160,260,30,5,MAX_RECOVERY_STEPS_GT_3,59.0970
1329,11851.79,17.558207,1.278275,2.412279,3.519229,18.8379,675,6,3.0,1.0,350,160,300,45,7,MAX_RECOVERY_STEPS_GT_3,59.0794
1323,7355.61,10.865007,1.193367,3.064889,2.365866,13.0799,677,6,2.5,1.2,150,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,59.0532
1668,8088.10,13.593445,1.207641,3.047020,2.511348,13.8228,595,6,2.5,2.0,450,200,220,15,5,MAX_RECOVERY_STEPS_GT_3,59.0429
993,6241.94,8.981209,1.260534,2.659540,2.873343,14.0313,695,5,1.5,1.8,400,40,100,15,5,MAX_RECOVERY_STEPS_GT_3,58.9572
1710,2032.07,2.734953,1.088185,1.133670,1.029754,14.5549,743,3,1.0,1.0,450,160,100,30,3,PF_LT_1_10,58.9392
656,2713.93,4.377306,1.098097,1.246941,1.106828,16.2508,620,6,1.5,1.0,250,80,220,45,3,PF_LT_1_10,58.9189
1154,10090.44,15.915521,1.222583,3.063725,2.492757,15.8307,634,6,3.5,1.6,450,200,260,45,7,MAX_RECOVERY_STEPS_GT_3,58.7794
741,4501.11,8.573543,1.140660,1.127137,1.807712,21.6706,525,6,2.0,1.2,100,120,260,45,3,,58.6531
1755,5725.29,7.643912,1.155029,3.077782,2.396329,12.3241,749,3,3.0,1.4,450,40,260,45,5,MAX_RECOVERY_STEPS_GT_3,58.6298
1731,9338.49,15.512442,1.268314,2.596340,3.185655,16.6011,602,6,2.5,2.0,400,160,180,45,5,MAX_RECOVERY_STEPS_GT_3,58.5406
1288,4461.79,8.498648,1.139605,1.118680,1.792232,21.6951,525,6,2.0,1.2,100,120,260,15,3,,58.2855
2211,10740.14,16.781469,1.272993,2.548173,3.294184,18.2995,640,6,2.0,1.8,250,160,260,45,5,MAX_RECOVERY_STEPS_GT_3,58.2727
1443,7302.12,14.374252,1.223323,2.982113,2.491012,12.6125,508,7,3.5,1.2,450,200,180,15,5,MAX_RECOVERY_STEPS_GT_3,58.2313
259,8531.15,14.683563,1.251996,2.517351,3.355988,16.3529,581,6,2.5,2.0,450,200,140,30,5,MAX_RECOVERY_STEPS_GT_3,58.0821
2008,5010.09,11.059801,1.147242,1.181909,1.933697,23.5420,453,6,2.5,1.2,400,160,300,30,3,,57.9451
1683,8801.91,13.417546,1.243909,2.853964,2.695593,15.9984,656,6,2.0,2.0,450,160,220,30,7,MAX_RECOVERY_STEPS_GT_3,57.8765
2000,11427.21,18.312837,1.242053,2.797982,2.850911,17.3917,624,7,4.0,1.0,150,200,300,45,7,MAX_RECOVERY_STEPS_GT_3,57.7085
223,2180.81,3.097741,1.106175,1.086077,1.080878,16.1186,704,5,1.0,2.0,150,40,100,15,3,,57.5641
1758,10661.92,18.288027,1.291787,2.581216,3.132968,17.9154,583,7,3.0,1.6,500,160,300,30,5,MAX_RECOVERY_STEPS_GT_3,57.4215
1689,7440.15,11.324429,1.209375,3.019946,2.272670,13.3730,657,6,2.5,2.0,100,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,57.4122
246,4217.72,8.750456,1.137253,1.147716,1.678772,21.2195,482,7,2.0,1.2,400,120,300,45,3,,57.3385
951,10652.51,18.303282,1.292634,2.578938,3.126785,17.9372,582,7,3.0,1.6,500,160,300,15,5,MAX_RECOVERY_STEPS_GT_3,57.3100
2213,8981.46,14.301688,1.250619,2.671622,2.943534,16.2011,628,6,2.5,2.0,400,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,57.3022
714,5987.66,8.445219,1.234183,2.626731,2.834485,13.8663,709,5,1.5,1.2,450,40,300,45,5,MAX_RECOVERY_STEPS_GT_3,57.2965
426,1688.56,2.297361,1.072712,1.045503,0.851219,12.7859,735,3,1.0,1.2,400,120,100,15,3,PF_LT_1_10,57.2409
1423,7445.38,11.280879,1.208841,3.022535,2.246292,13.3682,660,6,2.5,2.0,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,57.2198
693,11436.41,18.356998,1.239455,2.800235,2.809123,17.4459,623,7,4.0,1.0,150,200,300,15,7,MAX_RECOVERY_STEPS_GT_3,57.1588
239,5949.02,8.426374,1.233391,2.629971,2.811806,13.8204,706,5,1.5,1.2,450,40,300,15,5,MAX_RECOVERY_STEPS_GT_3,57.1263
2251,2699.97,5.498921,1.090630,1.219747,1.029411,15.0048,491,7,2.0,1.0,100,120,260,30,3,PF_LT_1_10,57.1209
1790,8459.97,13.891576,1.219464,2.949276,2.459729,14.5076,609,6,3.0,1.0,200,200,260,15,5,MAX_RECOVERY_STEPS_GT_3,57.0385
1433,4439.21,8.375868,1.140806,1.075278,1.784080,22.3148,530,6,2.0,1.2,100,120,220,45,3,,56.9115
240,1843.63,2.711221,1.080698,1.037583,0.868514,13.1757,680,5,1.0,1.8,250,160,140,15,3,PF_LT_1_10,56.8986
451,4059.49,6.005163,1.217741,2.976711,1.964721,9.7997,676,6,1.0,1.8,250,200,100,30,7,MAX_RECOVERY_STEPS_GT_3,56.8461
1557,3634.26,7.327137,1.128883,1.135000,1.569031,20.2597,496,7,2.5,2.0,400,80,180,45,3,,56.8174
1639,7013.02,10.283021,1.192010,2.976386,2.173789,12.1648,682,7,1.5,1.4,150,200,300,15,5,MAX_RECOVERY_STEPS_GT_3,56.7556
1874,11372.73,18.254783,1.237676,2.784642,2.797664,17.4374,623,7,4.0,1.0,150,200,300,30,7,MAX_RECOVERY_STEPS_GT_3,56.7264
2037,9497.57,13.626356,1.237455,2.687629,2.915466,17.3301,697,6,2.0,1.2,100,200,260,30,7,MAX_RECOVERY_STEPS_GT_3,56.6898
193,2551.89,6.004447,1.082779,1.209788,1.063838,14.4682,425,4,3.5,1.4,350,200,180,15,3,PF_LT_1_10,56.6680
1435,4296.06,7.100926,1.198940,3.052415,1.983116,9.9379,605,7,1.5,1.4,150,160,100,15,7,MAX_RECOVERY_STEPS_GT_3,56.4457
744,5622.21,12.195683,1.160463,1.123301,1.853715,24.2644,461,5,3.0,1.6,150,200,300,45,3,,56.2824
1259,8574.76,13.697700,1.238611,2.729329,2.779161,15.8844,626,6,2.0,1.6,300,160,220,30,5,MAX_RECOVERY_STEPS_GT_3,56.2519
584,2010.29,3.045894,1.090677,1.115502,0.828434,14.5831,660,7,1.0,2.0,200,120,300,30,3,PF_LT_1_10,56.1246
1624,7707.22,12.781459,1.246635,2.676592,2.754472,14.7384,603,7,2.5,2.0,400,80,300,15,5,MAX_RECOVERY_STEPS_GT_3,56.1076
1544,9377.14,15.576645,1.266410,2.689811,2.798045,16.5875,602,7,2.0,1.2,400,200,260,30,5,MAX_RECOVERY_STEPS_GT_3,56.0355
989,3808.44,7.105299,1.140770,1.095198,1.622836,21.8201,536,6,2.0,1.8,200,80,260,15,3,,55.9605
1752,8779.35,13.025742,1.220252,2.647397,2.931993,16.5225,674,6,2.5,1.0,400,120,220,30,7,MAX_RECOVERY_STEPS_GT_3,55.9310
1480,6678.26,9.735073,1.196138,2.962217,2.088039,12.0270,686,7,1.5,1.6,350,200,300,45,7,MAX_RECOVERY_STEPS_GT_3,55.8852
280,3186.57,4.828136,1.143482,1.012918,1.266788,19.2618,660,7,1.0,1.0,150,200,260,15,3,,55.7912
1886,8406.86,13.386720,1.234569,2.755724,2.682702,15.6317,628,6,2.0,1.6,300,160,220,15,5,MAX_RECOVERY_STEPS_GT_3,55.7896
265,3041.71,5.112118,1.096726,1.149846,1.132644,17.6650,595,6,1.5,1.2,450,120,220,15,3,PF_LT_1_10,55.7824
62,3058.05,7.841154,1.120464,1.098765,1.488754,18.2796,390,6,3.5,1.8,350,160,140,45,3,,55.7502
1914,9539.46,15.511317,1.270226,2.681032,2.759519,16.7595,615,7,2.0,1.0,450,160,260,15,5,MAX_RECOVERY_STEPS_GT_3,55.7126
822,10736.70,17.289372,1.295930,2.464213,3.182470,18.9702,621,6,2.0,2.0,450,200,260,30,5,MAX_RECOVERY_STEPS_GT_3,55.6210
1649,9712.45,14.116933,1.258067,2.512469,3.006863,17.4954,688,6,2.0,1.4,200,160,220,30,7,MAX_RECOVERY_STEPS_GT_3,55.4783
1163,2726.39,4.491582,1.099043,1.194538,1.086474,18.1905,607,5,1.5,1.0,350,80,180,30,3,PF_LT_1_10,55.4553
215,2205.51,3.430031,1.097346,1.037633,0.889683,14.8326,643,7,1.0,1.6,400,200,220,45,3,PF_LT_1_10,55.3578
1450,10162.57,16.524504,1.251365,2.740146,2.776413,17.6855,615,7,2.0,2.0,400,160,300,30,5,MAX_RECOVERY_STEPS_GT_3,55.3085
1206,7296.19,10.467991,1.199015,2.839327,2.261879,12.9352,697,7,1.5,1.4,150,200,300,45,7,MAX_RECOVERY_STEPS_GT_3,55.2572
589,2713.80,4.470840,1.098586,1.187846,1.081257,18.2160,607,5,1.5,1.0,350,80,180,15,3,PF_LT_1_10,55.2499
587,10127.33,16.467203,1.250949,2.742772,2.763597,17.6502,615,7,2.0,2.0,400,160,300,15,5,MAX_RECOVERY_STEPS_GT_3,55.2299
1020,7488.85,12.098304,1.242118,2.767600,2.493103,14.4513,619,7,2.0,1.4,400,80,260,30,5,MAX_RECOVERY_STEPS_GT_3,55.1649
1620,11260.32,16.831570,1.260587,2.515975,3.161510,19.6541,669,6,2.5,2.0,450,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,55.0777
974,4088.41,6.882845,1.193987,3.000822,1.937848,9.7945,594,7,1.5,1.6,100,120,100,45,5,MAX_RECOVERY_STEPS_GT_3,54.9569
1305,11236.79,16.821542,1.260020,2.510717,3.154755,19.6738,668,6,2.5,2.0,450,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,54.8617
141,5995.19,8.201354,1.197477,2.916417,2.352497,14.4647,731,5,1.5,1.0,350,80,180,15,5,MAX_RECOVERY_STEPS_GT_3,54.8229
934,1697.14,4.767247,1.076755,1.147468,0.827762,11.9069,356,6,4.0,1.2,350,160,140,15,3,PF_LT_1_10,54.8221
1468,8647.71,14.061317,1.210884,2.835994,2.460838,14.8503,615,6,3.0,1.2,400,200,260,30,5,MAX_RECOVERY_STEPS_GT_3,54.8184
117,5156.58,7.495029,1.182166,2.895036,2.104961,11.2586,688,6,1.5,1.8,300,80,140,15,7,MAX_RECOVERY_STEPS_GT_3,54.7475
1652,3843.22,7.748427,1.108672,1.142350,1.379563,20.3725,496,6,2.5,1.0,150,160,300,30,3,,54.2947
650,3193.95,6.287303,1.100704,1.216706,1.102357,18.7364,508,5,2.5,1.6,250,160,220,15,3,,54.1692
160,2715.32,4.665498,1.105552,1.085824,1.098975,18.0066,582,5,1.5,1.4,100,160,140,30,3,,54.0355
361,1753.61,2.681361,1.076536,1.062292,0.688474,13.9191,654,7,1.0,1.4,400,120,300,15,3,PF_LT_1_10,54.0146
1012,2945.86,6.725708,1.124497,1.010763,1.447612,18.9381,438,5,3.0,1.6,150,200,100,15,3,,53.9993
84,2689.49,4.819875,1.107082,1.019936,1.283922,18.5490,558,5,2.0,1.8,200,40,260,15,3,,53.9435
630,3666.67,7.591449,1.132769,1.036872,1.556094,21.3527,483,5,3.5,1.2,200,80,260,30,3,,53.8710
1943,2108.92,2.869279,1.094570,1.018467,1.035870,17.6393,735,3,1.0,1.6,250,160,100,45,3,PF_LT_1_10,53.8330
1010,7838.25,12.807598,1.206107,2.847508,2.322567,14.1998,612,6,3.0,1.2,400,200,260,15,5,MAX_RECOVERY_STEPS_GT_3,53.7743
941,3411.86,9.503788,1.122759,1.106009,1.338559,18.6997,359,7,4.0,1.4,350,200,260,45,3,,53.6672
1095,8519.88,11.420751,1.179958,3.002241,2.173786,15.6112,746,5,3.0,1.6,150,200,300,45,7,MAX_RECOVERY_STEPS_GT_3,53.5965
1113,8678.92,14.181242,1.255610,2.596567,2.778650,16.8167,612,6,2.0,2.0,450,200,220,15,5,MAX_RECOVERY_STEPS_GT_3,53.5836
364,1978.48,2.834499,1.083739,0.977611,0.847517,15.3872,698,6,1.0,2.0,150,120,220,15,3,PF_LT_1_10,53.5662
437,2521.26,5.155951,1.090407,1.243231,0.926193,17.3044,489,5,2.5,1.0,500,160,220,45,3,PF_LT_1_10,53.5557
1722,8158.31,12.767308,1.230321,2.720343,2.498965,15.5768,639,6,2.0,1.4,350,160,220,30,5,MAX_RECOVERY_STEPS_GT_3,53.3716
1448,7207.90,14.561414,1.218106,2.727331,2.545737,13.6291,495,7,4.0,1.0,150,200,180,45,5,MAX_RECOVERY_STEPS_GT_3,53.3215
1036,3201.53,6.811766,1.116352,1.065330,1.362079,19.8024,470,7,2.5,1.4,500,80,260,15,3,,53.2252
1099,3359.03,7.997690,1.110357,1.169220,1.208700,19.1523,420,7,2.5,2.0,400,160,260,15,3,,53.1846
152,1924.67,4.009729,1.088960,1.143248,0.916984,15.9444,480,7,2.5,2.0,450,40,140,15,3,PF_LT_1_10,53.1184
560,4879.21,7.030562,1.162817,2.917298,1.995101,11.3881,694,6,1.5,1.0,200,80,180,45,5,MAX_RECOVERY_STEPS_GT_3,53.0972
56,2416.54,5.406130,1.117293,0.925494,1.406604,17.9630,447,6,3.5,1.0,250,40,180,30,3,,53.0921
1205,2842.23,5.765172,1.097806,1.130957,1.117294,18.2796,493,5,2.5,1.0,350,160,180,30,3,PF_LT_1_10,53.0890
15,4983.57,7.307287,1.167311,3.017639,1.800443,11.1253,682,7,1.5,1.8,250,80,260,45,7,MAX_RECOVERY_STEPS_GT_3,53.0092
1506,10581.33,14.475144,1.250363,2.375462,3.161525,19.4548,731,5,3.0,1.0,200,160,260,15,7,MAX_RECOVERY_STEPS_GT_3,52.9548
1157,9051.90,15.264587,1.253741,2.627212,2.693723,16.9447,593,7,2.0,2.0,400,160,260,45,5,MAX_RECOVERY_STEPS_GT_3,52.8901
244,3250.02,8.207121,1.105924,1.107880,1.204138,18.1326,396,6,4.0,2.0,450,200,300,45,3,,52.8900
2284,9565.40,15.135127,1.250279,2.641128,2.661324,17.4893,632,7,2.0,1.2,400,160,300,45,5,MAX_RECOVERY_STEPS_GT_3,52.8140
928,7046.18,10.152997,1.222848,2.673869,2.284754,13.6919,694,7,1.5,1.8,300,160,220,30,7,MAX_RECOVERY_STEPS_GT_3,52.7624
1162,7779.26,11.858628,1.262630,2.580845,2.618084,16.3509,656,7,2.0,2.0,400,80,300,30,7,MAX_RECOVERY_STEPS_GT_3,52.7255
1314,7569.27,12.531904,1.243848,2.502370,2.768648,15.4082,604,7,2.5,2.0,400,80,180,15,5,MAX_RECOVERY_STEPS_GT_3,52.6801
965,4422.53,9.784358,1.137878,1.032968,1.614219,22.9173,452,7,2.5,1.4,500,200,260,15,3,,52.6301
261,7561.27,12.560249,1.244249,2.500031,2.765165,15.4135,602,7,2.5,2.0,400,80,180,30,5,MAX_RECOVERY_STEPS_GT_3,52.5853
1491,7560.41,12.579717,1.244221,2.500061,2.765213,15.4131,601,7,2.5,2.0,400,80,180,45,5,MAX_RECOVERY_STEPS_GT_3,52.5710
617,1824.98,2.538220,1.081034,0.846803,0.948638,15.4157,719,4,1.0,1.0,400,200,100,15,3,PF_LT_1_10,52.4383
1981,9471.84,15.034667,1.251291,2.615295,2.646991,17.5682,630,7,2.0,1.2,400,160,300,30,5,MAX_RECOVERY_STEPS_GT_3,52.1486
682,1784.27,4.383956,1.085646,1.073607,0.875863,14.6490,407,7,2.5,1.8,300,160,100,30,3,PF_LT_1_10,51.9880
1810,9174.22,13.985091,1.252326,2.459332,2.850170,17.6814,656,7,2.0,1.2,350,160,260,15,7,MAX_RECOVERY_STEPS_GT_3,51.9639
1334,6937.99,10.806838,1.253414,2.527363,2.529900,14.8068,642,7,1.5,1.4,400,160,180,30,7,MAX_RECOVERY_STEPS_GT_3,51.9512
2106,9635.86,14.644164,1.247338,2.383822,3.086856,18.8092,658,6,2.5,1.2,350,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,51.9296
23,6786.14,13.491332,1.205258,2.771391,2.307740,12.9582,503,7,3.5,1.2,450,200,180,45,5,MAX_RECOVERY_STEPS_GT_3,51.8612
1169,7515.59,12.484369,1.240920,2.500063,2.709624,15.4510,602,7,2.5,2.0,400,80,220,15,5,MAX_RECOVERY_STEPS_GT_3,51.8460
1233,9991.84,14.544163,1.259598,2.413127,3.022054,19.5766,687,6,2.5,1.2,150,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,51.8217
1728,8452.64,13.545897,1.228477,2.567178,2.674136,16.3627,624,6,2.5,2.0,450,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,51.7511
921,9752.47,14.032331,1.230287,2.523546,2.832584,18.5802,695,6,3.0,1.0,200,160,260,15,7,MAX_RECOVERY_STEPS_GT_3,51.7476
1056,4755.02,8.445861,1.174054,2.840582,2.126012,11.3890,563,6,2.5,1.0,400,120,100,30,5,MAX_RECOVERY_STEPS_GT_3,51.7143
1696,9743.95,14.020072,1.230121,2.521635,2.828739,18.5865,695,6,3.0,1.0,200,160,260,30,7,MAX_RECOVERY_STEPS_GT_3,51.6629
1389,7498.34,12.497233,1.240449,2.494632,2.702471,15.4631,600,7,2.5,2.0,400,80,220,30,5,MAX_RECOVERY_STEPS_GT_3,51.6248
1399,8510.26,13.616416,1.226672,2.550219,2.703395,16.4877,625,6,2.5,2.0,450,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,51.6192
1358,8501.85,13.624760,1.226508,2.547982,2.703013,16.4925,624,6,2.5,2.0,450,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,51.5519
496,9713.35,13.976043,1.229280,2.516940,2.825791,18.5949,695,6,3.0,1.0,200,160,260,45,7,MAX_RECOVERY_STEPS_GT_3,51.5082
1681,7522.87,10.902710,1.219195,2.583368,2.367634,14.3519,690,7,1.5,1.4,250,200,260,30,7,MAX_RECOVERY_STEPS_GT_3,51.4950
632,4834.14,7.414325,1.277111,2.740007,2.251243,15.4651,652,7,1.0,1.2,350,200,100,45,7,MAX_RECOVERY_STEPS_GT_3,51.4847
168,4834.14,7.414325,1.277111,2.740007,2.251243,15.4651,652,7,1.0,1.2,350,160,100,45,7,MAX_RECOVERY_STEPS_GT_3,51.4847
1574,8104.81,12.224449,1.258335,2.520725,2.625073,17.0147,663,7,2.0,1.4,300,80,300,15,7,MAX_RECOVERY_STEPS_GT_3,51.2095
1109,10556.60,16.067884,1.268738,2.357494,3.100208,20.2561,657,6,2.0,2.0,450,200,260,45,7,MAX_RECOVERY_STEPS_GT_3,51.1270
2210,10818.69,15.747729,1.261047,2.336226,3.150665,20.8588,687,6,2.0,1.8,250,160,260,45,7,MAX_RECOVERY_STEPS_GT_3,50.8798
1623,10818.69,15.747729,1.261047,2.336226,3.150665,20.8588,687,6,2.0,2.0,250,160,260,45,7,MAX_RECOVERY_STEPS_GT_3,50.8798
1787,9070.91,13.869893,1.249571,2.432421,2.802287,17.7693,654,7,2.0,1.2,350,160,260,45,7,MAX_RECOVERY_STEPS_GT_3,50.7993
425,2302.83,5.061165,1.111777,0.877763,1.279657,18.1318,455,6,3.5,2.0,350,40,140,30,3,,50.7685
967,1921.14,4.674307,1.082153,0.962934,0.994743,15.2870,411,7,4.0,1.0,150,80,220,30,3,PF_LT_1_10,50.7544
1534,10595.20,16.004834,1.269090,2.318785,3.130159,20.5479,662,6,2.0,2.0,450,200,260,30,7,MAX_RECOVERY_STEPS_GT_3,50.5988
76,1827.85,2.728134,1.074949,0.860760,0.788857,15.2990,670,6,1.0,2.0,400,120,300,45,3,PF_LT_1_10,50.5497
1397,4845.56,7.253832,1.166513,2.972663,1.717963,11.7207,668,7,1.5,1.4,400,80,300,30,7,MAX_RECOVERY_STEPS_GT_3,50.4983
194,2880.35,4.966121,1.097644,0.997175,1.151021,20.1990,580,4,2.0,1.8,250,120,220,15,3,PF_LT_1_10,50.3725
1677,7048.15,10.695220,1.214560,2.613620,2.209449,13.6696,659,7,1.5,1.4,400,200,260,30,5,MAX_RECOVERY_STEPS_GT_3,50.3432
1543,7308.98,11.158748,1.209919,2.690835,2.296363,15.3035,655,6,2.5,2.0,150,120,180,45,5,MAX_RECOVERY_STEPS_GT_3,50.3208
1172,7731.31,11.678716,1.243631,2.524806,2.528743,16.6689,662,7,2.0,1.4,300,80,300,45,7,MAX_RECOVERY_STEPS_GT_3,50.0067
1362,7141.84,9.988587,1.179892,2.661430,2.215094,14.1618,715,5,2.0,1.2,350,160,300,30,5,MAX_RECOVERY_STEPS_GT_3,49.9454
1990,9259.06,14.071520,1.239992,2.439696,2.818619,18.6416,658,7,2.0,1.0,100,200,260,45,7,MAX_RECOVERY_STEPS_GT_3,49.8410
572,3061.07,5.241558,1.112775,0.969875,1.152703,21.0228,584,6,1.5,1.0,150,200,180,30,3,,49.6683
893,1650.35,3.402784,1.071214,0.876433,0.839278,14.4055,485,5,2.0,1.4,400,120,100,15,3,PF_LT_1_10,49.4989
408,1928.04,4.691095,1.077249,0.992387,0.819692,15.1096,411,7,2.5,2.0,300,200,140,30,3,PF_LT_1_10,49.4904
355,1258.96,2.001526,1.048873,0.807155,0.607352,12.8389,629,3,1.5,1.8,300,120,100,15,3,PF_LT_1_10,49.0999
1343,7713.89,10.581468,1.208146,2.561418,2.613854,18.0372,729,5,2.0,1.0,400,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,49.0572
801,1860.09,2.727405,1.078182,0.848411,0.784702,16.6678,682,6,1.0,1.8,100,200,220,30,3,PF_LT_1_10,48.9811
1772,9599.42,15.022567,1.259295,2.412551,2.756580,19.0786,639,7,2.0,1.0,450,200,300,15,7,MAX_RECOVERY_STEPS_GT_3,48.8634
2221,9592.22,15.058430,1.258065,2.411105,2.744657,19.0839,637,7,2.0,1.0,450,200,300,45,7,MAX_RECOVERY_STEPS_GT_3,48.6409
766,2429.02,4.456917,1.078652,0.954717,0.947825,18.3615,545,4,2.5,1.2,150,120,220,45,3,PF_LT_1_10,48.5182
2072,8823.34,11.780160,1.208225,2.553404,2.593178,18.7341,749,5,2.5,1.0,200,160,260,15,7,MAX_RECOVERY_STEPS_GT_3,48.4515
204,1688.24,3.743326,1.096846,0.921282,0.982588,17.5509,451,7,4.0,1.6,250,40,220,15,3,PF_LT_1_10,48.2606
342,4390.13,9.606411,1.123831,0.942375,1.533073,24.4895,457,5,3.0,1.4,200,200,260,45,3,,48.1367
1255,5076.64,7.050889,1.155266,2.645640,1.954908,11.7649,720,6,1.5,1.0,200,120,220,45,7,MAX_RECOVERY_STEPS_GT_3,48.0884
1634,8973.11,14.042426,1.253728,2.345525,2.723796,18.3802,639,7,2.0,1.2,400,160,260,15,7,MAX_RECOVERY_STEPS_GT_3,47.8602
279,1733.84,4.249608,1.071926,0.858800,0.916146,15.5482,408,7,4.0,1.6,350,80,140,15,3,PF_LT_1_10,47.5985
844,3242.23,6.869131,1.094789,0.957025,1.171485,20.9644,472,5,3.0,2.0,300,200,260,30,3,PF_LT_1_10,47.5945
173,6308.97,9.277897,1.174623,2.570243,2.197187,14.1628,680,5,2.5,1.2,150,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,47.5107
2175,9006.49,13.584449,1.232801,2.391597,2.686841,18.7563,663,7,2.0,1.2,100,200,260,15,7,MAX_RECOVERY_STEPS_GT_3,47.3575
843,1365.64,2.677725,1.050724,0.771932,0.782557,14.0214,510,4,3.5,1.8,500,40,180,30,3,PF_LT_1_10,47.3227
1344,8950.22,14.320352,1.247535,2.344432,2.696125,18.3413,625,6,2.0,1.2,450,200,260,30,5,MAX_RECOVERY_STEPS_GT_3,47.1856
337,1547.39,2.258964,1.074665,0.745479,0.779027,16.6932,685,6,1.0,1.0,350,40,140,45,3,PF_LT_1_10,47.1133
1921,9728.66,13.400358,1.234847,2.121632,3.201845,20.8189,726,5,2.5,1.2,300,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,46.9442
1894,9032.78,14.113719,1.236680,2.338735,2.707925,18.4829,640,7,2.0,1.0,350,200,300,15,7,MAX_RECOVERY_STEPS_GT_3,46.9238
460,1531.69,3.819676,1.072086,0.837923,0.768688,14.7300,401,7,2.5,1.0,400,200,100,45,3,PF_LT_1_10,46.5972
418,4520.69,10.321210,1.137377,0.892075,1.587205,25.8933,438,5,3.0,1.6,200,200,260,15,3,EQUITY_DD_GT_25,46.5069
105,3586.43,5.336949,1.175178,2.629830,1.625708,9.7743,672,6,1.0,1.6,400,200,100,30,5,MAX_RECOVERY_STEPS_GT_3,46.4998
211,5392.15,7.316350,1.169088,2.587690,2.067033,13.8619,737,5,1.5,1.8,250,80,220,15,5,MAX_RECOVERY_STEPS_GT_3,46.4656
631,10400.70,15.734796,1.244355,2.225458,3.015217,21.1377,661,6,2.5,2.0,450,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,46.3644
311,2654.58,5.496025,1.103635,0.832120,1.186487,20.7050,483,6,2.0,2.0,300,200,140,30,3,,46.3552
1947,10024.61,14.677321,1.252681,2.286203,2.754186,20.2500,683,6,2.0,1.4,200,200,260,30,7,MAX_RECOVERY_STEPS_GT_3,46.1482
615,3946.85,7.941348,1.128652,0.864453,1.542297,25.7333,497,6,2.0,1.6,450,120,300,45,3,EQUITY_DD_GT_25,46.0860
1082,1499.62,2.048661,1.068896,0.740934,0.779577,17.6099,732,3,1.0,1.0,300,200,100,45,3,PF_LT_1_10,45.9391
1055,8402.72,14.051371,1.216484,2.242059,2.800555,17.6336,598,6,3.0,1.0,350,160,180,30,5,MAX_RECOVERY_STEPS_GT_3,45.7973
706,2159.39,4.694326,1.078764,0.885558,0.863377,17.9402,460,7,2.5,2.0,400,80,300,45,3,PF_LT_1_10,45.7968
276,3632.45,4.773259,1.175154,2.405723,1.933425,10.4859,761,5,1.0,1.8,250,40,100,15,7,MAX_RECOVERY_STEPS_GT_3,45.7836
885,2067.75,3.808011,1.113352,0.883307,1.037220,21.5791,543,7,1.5,1.4,200,160,100,45,3,,45.4852
213,7889.13,13.555206,1.183277,2.414269,2.497609,16.1980,582,6,3.0,1.2,400,200,220,15,5,MAX_RECOVERY_STEPS_GT_3,45.4261
715,3361.72,5.047628,1.207536,2.639935,1.674388,12.0201,666,7,1.0,1.2,350,40,100,15,7,MAX_RECOVERY_STEPS_GT_3,45.3777
58,2096.34,3.716915,1.091777,0.904655,0.825072,19.8155,564,7,1.5,2.0,450,80,300,30,3,PF_LT_1_10,45.3595
867,4377.84,7.004544,1.173860,2.488413,1.952545,11.6184,625,7,1.5,1.4,300,200,140,45,7,MAX_RECOVERY_STEPS_GT_3,45.1122
