window,year,trades,pf,net,balance_dd_pct
MAIN,2023,22,4.448878,41.49,0.119865
MAIN,2024,16,0.832093,-15.79,0.930905
MAIN,2025,11,,123.38,0.700653
BWD,2020,21,1.077956,7.55,0.902550
BWD,2021,30,1.026444,2.88,1.063308
BWD,2022,25,0.654702,-42.52,1.618909
