sha1,duplicate_count,path
adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,8,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\handoff\.gitkeep
adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,8,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\logs\.gitkeep
adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,8,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\.gitkeep
adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,8,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\.gitkeep
adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,8,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\set\.gitkeep
adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,8,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\source\.gitkeep
adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,8,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\spec\.gitkeep
aa5ec9679674ab59f342f9a28814f7f4aa0f905e,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\Gold_SMC_Continuous_MT5.ex5
aa5ec9679674ab59f342f9a28814f7f4aa0f905e,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\terminal_experts_old\Gold_SMC_Continuous_MT5.old_terminal.ex5
92d2eff689d7e693a53f56529f93b9bf6a32c272,6,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\set\Gold_SMC_Continuous_MT5_RiskCapV1.set
92d2eff689d7e693a53f56529f93b9bf6a32c272,6,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\set\risk_cap_v1.set
92d2eff689d7e693a53f56529f93b9bf6a32c272,6,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\set_used.set
92d2eff689d7e693a53f56529f93b9bf6a32c272,6,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\risk_cap_v1_run_002_set_used.set
92d2eff689d7e693a53f56529f93b9bf6a32c272,6,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\risk_cap_v1_run_002_set_used.set
92d2eff689d7e693a53f56529f93b9bf6a32c272,6,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_set_used.set
0eef5b1e92ad12a29d9c59e4e4889979583a48d6,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\handoff_report.md
0eef5b1e92ad12a29d9c59e4e4889979583a48d6,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_handoff_report.md
7ec6b261cd00661fe787655b36eada1b01e79194,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\report.html
7ec6b261cd00661fe787655b36eada1b01e79194,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\ReportTester-146237.html
7ec6b261cd00661fe787655b36eada1b01e79194,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\risk_cap_v1_run_002_report.html
7ec6b261cd00661fe787655b36eada1b01e79194,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\risk_cap_v1_run_002_report.html
