context,window,year,trades,pf,net,balance_dd_pct
GBP_H1,MAIN,2023,121,,142.69,0.0
GBP_H1,MAIN,2024,71,0.5226880519744188,-47.02,0.9229025767227965
GBP_H1,MAIN,2025,78,0.40463483649127835,-166.22,2.788839144110516
GBP_H1,BWD,2020,101,1.4561131332418402,76.44000000000001,1.263962869174966
GBP_H1,BWD,2021,92,4.3250266998932005,93.4,0.5577731788325375
GBP_H1,BWD,2022,75,1.3978451942160477,70.16000000000001,0.6872281176498838
GBP_M15,MAIN,2023,260,1.9544938422569658,109.28,0.3911354528347228
GBP_M15,MAIN,2024,221,1.2817620975515713,29.230000000000004,0.46946229972506653
GBP_M15,MAIN,2025,243,0.8740977323538807,-19.70999999999999,0.6631758184076112
GBP_M15,BWD,2020,276,0.9927372902579515,-1.7399999999999916,1.5263809842983134
GBP_M15,BWD,2021,241,0.6415559772296016,-56.669999999999995,1.7410035954971457
GBP_M15,BWD,2022,231,0.8823175772149996,-31.31999999999999,2.076332889456932
