window,pf,net,trades,eqdd_pct,quality,cycles,max_depth,max_positions,max_aggregate_lots,max_entry_price_span,active_time_share,multi_entry_gp_share,largest_cycle_loss,largest_ticket_loss,report_sha256,ini_sha256,truncated,leverage_match,mechanical_eligible
MAIN,1.52,248.99,275,3.86,100%,239,7,7,0.07,15.627,0.216821,0.746467,-148.33,-68.67,bb8b87fc73bbf92b903b84c7c5ddfc8b62aadcab1cac2638e06dfe58014e7c62,d0a3c4cf0c2b54851f2e6d3ea21e71ca29bc424b4c7519290c5debb80c21c54d,False,True,True
BWD,1.03,11.31,186,2.41,99%,161,5,5,0.05,13.105,0.368248,0.755039,-151.78,-53.27,9f87321fb3ce3f2331c8cf656821f4e9c4d0742a4277ca2eea0461295e72db7c,36138c3082fa730336de8319f9f965870c1557c92da1f55695e07abd5b8051a5,False,True,True
