"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2017-06-01","0","1","1.1","0.65","0","1"
"2017-06-02","0.0","1","2.0","0.65","0","1"
"2017-06-05","0.8","1","1.7","0.65","0","1"
"2017-06-06","1.6","1","2.9","0.65","0","1"
"2017-06-07","0.6","1","2.8","0.65","0","1"
"2017-06-08","4.2","1","2.2","0.65","0","1"
"2017-06-09","12.1","1","0.0","0.65","5.0","1"
"2017-06-12","10.7","1","0","0.65","3.9","1"
"2017-06-13","11.1","1","0","0.65","7.5","1"
"2017-06-14","4.0","1","0","0.65","0","1"
"2017-06-15","5.3","1","0.8","0.65","0","1"
"2017-06-16","4.7","1","2.3","0.65","0","1"
"2017-06-19","0.0","1","0.8","0.65","0","1"
"2017-06-20","5.7","1","3.7","0.65","0","1"
"2017-06-21","7.9","1","4.3","0.65","2.1","1"
"2017-06-22","4.6","1","2.4","0.65","0","1"
"2017-06-23","4.0","1","0.1","0.65","0","1"
"2017-06-26","7.9","1","2.2","0.65","0","1"
"2017-06-27","14.9","1","0","0.65","13.8","1"
"2017-06-28","13.2","1","0","0.65","26.4","1"
"2017-06-29","24.0","1","0","0.65","32.2","1"
"2017-06-30","30.2","1","0","0.65","44.4","1"
"2017-07-03","36.3","1","0","0.65","54.8","1"
"2017-07-05","21.3","1","0","0.65","24.0","1"
"2017-07-06","32.2","1","0","0.65","24.7","1"
"2017-07-07","21.5","1","0","0.65","15.8","1"
"2017-07-10","13.8","1","0.5","0.65","8.6","1"
"2017-07-11","8.0","1","1.4","0.65","2.0","1"
"2017-07-12","2.8","1","0","0.65","2.8","1"
"2017-07-13","0","1","0","0.65","4.3","1"
"2017-07-14","0","1","0","0.65","18.3","1"
"2017-07-17","0","1","0","0.65","12.8","1"
"2017-07-18","0","1","0","0.65","10.6","1"
"2017-07-19","0","1","0","0.65","12.5","1"
"2017-07-20","0","1","0.3","0.65","5.4","1"
"2017-07-21","2.3","1","1.8","0.65","0","1"
"2017-07-24","2.8","1","0.9","0.65","2.4","1"
"2017-07-25","10.5","1","0","0.65","19.1","1"
"2017-07-26","6.2","1","0","0.65","13.9","1"
"2017-07-27","10.8","1","0","0.65","22.3","1"
"2017-07-28","13.1","1","0","0.65","38.1","1"
"2017-07-31","10.2","1","0","0.65","36.0","1"
"2017-08-01","5.2","1","2.6","0.65","9.3","1"
"2017-08-02","5.0","1","1.5","0.65","6.5","1"
"2017-08-03","5.6","1","3.9","0.65","0","1"
"2017-08-04","4.0","1","2.2","0.65","0.5","1"
"2017-08-07","2.8","1","2.5","0.65","0","1"
"2017-08-08","9.8","1","2.2","0.65","4.1","1"
"2017-08-09","5.7","1","5.6","0.65","0.5","1"
"2017-08-10","11.9","1","10.8","0.65","0","1"
"2017-08-11","12.2","1","11.1","0.65","0","1"
"2017-08-14","8.0","1","5.5","0.65","0","1"
"2017-08-15","7.1","1","2.2","0.65","0","1"
"2017-08-16","6.2","1","1.4","0.65","0","1"
"2017-08-17","6.7","1","4.1","0.65","0","1"
"2017-08-18","8.9","1","3.4","0.65","0.6","1"
"2017-08-21","12.6","1","5.6","0.65","0","1"
"2017-08-22","7.4","1","3.1","0.65","0.7","1"
"2017-08-23","9.9","1","4.6","0.65","12.2","1"
"2017-08-24","3.2","1","2.1","0.65","2.5","1"
"2017-08-25","1.4","1","2.1","0.65","0","1"
"2017-08-28","1.7","1","2.3","0.65","0","1"
"2017-08-29","6.3","1","5.0","0.65","0","1"
"2017-08-30","2.2","1","2.5","0.65","0","1"
"2017-08-31","0","1","2.2","0.65","0","1"
"2017-09-01","0","1","1.9","0.65","0","1"
"2017-09-05","2.2","1","6.9","0.65","15.7","1"
"2017-09-06","1.1","1","4.4","0.65","20.5","1"
"2017-09-07","3.5","1","8.5","0.65","23.8","1"
"2017-09-08","7.1","1","10.5","0.65","1.9","1"
"2017-09-11","2.7","1","5.3","0.65","5.8","1"
"2017-09-12","14.1","1","2.4","0.65","12.6","1"
"2017-09-13","12.2","1","1.8","0.65","11.9","1"
"2017-09-14","19.0","1","1.5","0.65","23.8","1"
"2017-09-15","19.7","1","1.6","0.65","36.4","1"
"2017-09-18","16.4","1","0.7","0.65","27.5","1"
"2017-09-19","13.1","1","0.2","0.65","18.1","1"
"2017-09-20","14.5","1","0","0.65","20.8","1"
"2017-09-21","15.3","1","0","0.65","17.9","1"
"2017-09-22","13.0","1","0","0.65","16.4","1"
"2017-09-25","6.4","1","0.6","0.65","24.8","1"
"2017-09-26","7.0","1","0.1","0.65","24.4","1"
"2017-09-27","9.7","1","0","0.65","24.3","1"
"2017-09-28","7.4","1","0","0.65","17.3","1"
"2017-09-29","10.5","1","0","0.65","21.8","1"
