"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2022-07-25","16.6","1","23.7","0.65","4.2","1"
"2022-07-26","23.7","1","30.8","0.65","1.2","1"
"2022-07-27","13.5","1","23.6","0.65","4.8","1"
"2022-07-28","14.3","1","23.4","0.65","3.5","1"
"2022-07-29","13.2","1","18.3","0.65","21.4","1"
"2022-08-01","14.4","1","23.5","0.65","0","1"
"2022-08-02","16.9","1","22.7","0.65","0","1"
"2022-08-03","16.8","1","18.4","0.65","1.8","1"
"2022-08-04","14.4","1","18.2","0.65","0","1"
"2022-08-05","45.9","1","16.3","0.65","24.8","1"
"2022-08-08","40.1","1","17.7","0.65","19.9","1"
"2022-08-09","24.8","1","19.4","0.65","7.0","1"
"2022-08-10","18.3","1","13.6","0.65","9.6","1"
"2022-08-11","41.4","1","13.0","0.65","47.9","1"
"2022-08-12","11.6","1","11.5","0.65","13.2","1"
"2022-08-15","16.2","1","13.4","0.65","3.2","1"
