source_path,source_file,strategy,symbol,Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSwingPeriod,InpRiskReward,InpLotMultiplier,InpMinGapPts,InpTakeProfitUSD,InpDailyTargetUSD,InpSLBufferPts,InpMaxRecoverySteps,reject_reasons,score,risk_adjusted_score,risk_band,selection_flag,plan_reject_reasons,Result,Custom,InpCooldownBarsAfterStop
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2232.0,14498.54,21.073459,1.373825,5.604925,4.027217,11.4462,688.0,7.0,2.0,1.2,150.0,120.0,300.0,30.0,7.0,MAX_RECOVERY_STEPS_GT_3,125.7723,81.76,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2232.0,14498.54,21.073459,1.373825,5.604925,4.027217,11.4462,688.0,7.0,2.0,1.2,150.0,120.0,300.0,30.0,7.0,,175.7723,81.76,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2232.0,14498.54,21.073459,1.373825,5.604925,4.027217,11.4462,688.0,7.0,2.0,1.2,150.0,120.0,300.0,30.0,7.0,MAX_RECOVERY_STEPS_GT_3,125.7723,81.76,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2232.0,14498.54,21.073459,1.373825,5.604925,4.027217,11.4462,688.0,7.0,2.0,1.2,150.0,120.0,300.0,30.0,7.0,,,81.76,Conservative,True,,24498.54,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2390.0,14470.26,21.062969,1.369312,5.593992,4.00402,11.4613,687.0,7.0,2.0,1.2,200.0,120.0,300.0,45.0,7.0,MAX_RECOVERY_STEPS_GT_3,125.1719,81.67,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2390.0,14470.26,21.062969,1.369312,5.593992,4.00402,11.4613,687.0,7.0,2.0,1.2,200.0,120.0,300.0,45.0,7.0,,175.1719,81.67,Conservative,True,MAX_RECOVERY_STEPS_GT_3;DAILY_TARGET_WAS_OPTIMIZED;SL_BUFFER_OUT_OF_SAFE_RANGE,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2390.0,14470.26,21.062969,1.369312,5.593992,4.00402,11.4613,687.0,7.0,2.0,1.2,200.0,120.0,300.0,45.0,7.0,MAX_RECOVERY_STEPS_GT_3,125.1719,81.67,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2390.0,14470.26,21.062969,1.369312,5.593992,4.00402,11.4613,687.0,7.0,2.0,1.2,200.0,120.0,300.0,45.0,7.0,,,81.67,Conservative,True,,24470.26,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2114.0,14439.82,20.98811,1.372517,5.582225,4.008949,11.4753,688.0,7.0,2.0,1.2,150.0,120.0,300.0,15.0,7.0,MAX_RECOVERY_STEPS_GT_3,125.1391,81.63,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2114.0,14439.82,20.98811,1.372517,5.582225,4.008949,11.4753,688.0,7.0,2.0,1.2,150.0,120.0,300.0,15.0,7.0,,175.1391,81.63,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED,,,
