symbol,tf,variant,window,year,trades,pf,net,balance_dd_pct
XAUUSD,H4,PARENT,MAIN,2023,83,0.9883930312310039,-10.119999999999994,2.4956918318704444
XAUUSD,H4,PARENT,MAIN,2024,81,1.0142472623337455,16.250000000000018,2.6343703215965655
XAUUSD,H4,PARENT,MAIN,2025,86,1.5466034499498365,1013.37,2.619636067223562
XAUUSD,H4,PARENT,BWD,2020,80,0.9668926491392457,-36.04,3.3491917291765705
XAUUSD,H4,PARENT,BWD,2021,71,0.7696689255053026,-196.11999999999998,3.133455011302274
XAUUSD,H4,PARENT,BWD,2022,82,0.9820962056811113,-17.270000000000007,1.4518816961784837
XAUUSD,H4,CHILD,MAIN,2023,98,0.950981329864565,-51.25,3.3944353454073157
XAUUSD,H4,CHILD,MAIN,2024,94,1.1389206458584562,177.41000000000003,2.6232197624818405
XAUUSD,H4,CHILD,MAIN,2025,101,1.0520477651098636,134.89999999999995,3.661005119800218
XAUUSD,H4,CHILD,BWD,2020,99,0.8982983831109228,-144.04,3.7418311582542025
XAUUSD,H4,CHILD,BWD,2021,94,0.6792348096966082,-387.16999999999996,4.562855798308595
XAUUSD,H4,CHILD,BWD,2022,96,0.7853066647457599,-268.24,3.172636939176955
USDJPY,H1,PARENT,MAIN,2023,325,0.9297158537664866,-47.64,1.120235780299011
USDJPY,H1,PARENT,MAIN,2024,335,0.8996797974532728,-67.36,1.249642239922238
USDJPY,H1,PARENT,MAIN,2025,310,0.9735176355269061,-15.940000000000005,0.8318958405208025
USDJPY,H1,PARENT,BWD,2020,304,1.1236460589901682,51.94,0.4155121908679777
USDJPY,H1,PARENT,BWD,2021,317,1.0582775065288976,20.529999999999998,0.2524783240315228
USDJPY,H1,PARENT,BWD,2022,335,1.2172357723577236,140.28,0.5131540193440888
USDJPY,H1,CHILD,MAIN,2023,416,0.8338250927472718,-153.19,1.8122490411233854
USDJPY,H1,CHILD,MAIN,2024,446,0.8686459884737421,-121.71000000000001,1.4939110521466807
USDJPY,H1,CHILD,MAIN,2025,399,0.8450561134081512,-131.16,1.5207999999999449
USDJPY,H1,CHILD,BWD,2020,376,1.0052511498207366,2.899999999999996,0.6731876861964878
USDJPY,H1,CHILD,BWD,2021,395,0.788228811656905,-103.77,1.2450371892280478
USDJPY,H1,CHILD,BWD,2022,414,1.0944307678015701,81.32,0.6931154753548885
